name_allsides,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as,orig_name_as,unique_id_as,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc,orig_name_mbfc,unique_id_mbfc,name_mbfc
,,,,,,,,,https://mediabiasfactcheck.com/population-research-institute/,questionable sources,low,united states,0,population research institute,330.0,population research institute
,,,,,,,,,https://mediabiasfactcheck.com/powdered-wig-society/,questionable sources,low,united states,"29,597",powdered wig society,331.0,powdered wig society
,,,,,,,,,https://mediabiasfactcheck.com/prageru/,questionable sources,low,united states,"115,631",prageru,332.0,prageru
,,,,,,,,,https://mediabiasfactcheck.com/president-45-donald-trump/,questionable sources,low,nan,"6,903",president 45 donald trump,333.0,president 45 donald trump
,,,,,,,,,https://mediabiasfactcheck.com/press-tv/,questionable sources,low,iran,"6,199,012",press tv,334.0,press tv
,,,,,,,,,https://mediabiasfactcheck.com/prideof-america-org-american-news/,questionable sources,low,nan,77,prideof-america.org (american news),335.0,prideof-america (american news)
,,,,,,,,,https://mediabiasfactcheck.com/prntly/,questionable sources,low,unknown or invalid region,"1,437",prntly,336.0,prntly
,,,,,,,,,https://mediabiasfactcheck.com/pro-trump-news/,questionable sources,low,unknown or invalid region,0,pro trump news,337.0,pro trump news
,,,,,,,,,https://mediabiasfactcheck.com/progress-tribune/,questionable sources,mixed,united states,34,progress tribune,338.0,progress tribune
,,,,,,,,,https://mediabiasfactcheck.com/progressives-today/,questionable sources,low,united states,"46,006",progressives today,339.0,progressives today
,,,,,,,,,https://mediabiasfactcheck.com/project-purge/,questionable sources,low,nan,100,project purge,340.0,project purge
,,,,,,,,,https://mediabiasfactcheck.com/proud-leader/,questionable sources,low,nan,995,proud leader,341.0,proud leader
,,,,,,,,,https://mediabiasfactcheck.com/puppet-string-news/,questionable sources,low,nan,"16,565",puppet string news,342.0,puppet string news
,,,,,,,,,https://mediabiasfactcheck.com/qanon-pub/,conspiracy-pseudoscience,very low,united states,"105,298",qanon.pub,343.0,qanon.pub
,,,,,,,,,https://mediabiasfactcheck.com/raw-conservative-opinions/,questionable sources,mixed,united states,0,raw conservative opinions,345.0,raw conservative opinions
,,,,,,,,,https://mediabiasfactcheck.com/react-365/,questionable sources,very low,united states,"211,049",react365,346.0,react365
,,,,,,,,,https://mediabiasfactcheck.com/read-conservatives/,questionable sources,low,nan,132,read conservatives,347.0,read conservatives
,,,,,,,,,https://mediabiasfactcheck.com/reagan-coalition/,questionable sources,low,nan,"11,456",reagan coalition,348.0,reagan coalition
,,,,,,,,,https://mediabiasfactcheck.com/real-time-politics/,questionable sources,low,nan,540,real time politics,349.0,real time politics
,,,,,,,,,https://mediabiasfactcheck.com/red-blue-divide/,questionable sources,mixed,united states,0,red blue divide,350.0,red blue divide
,,,,,,,,,https://mediabiasfactcheck.com/red-country-conservative-news/,questionable sources,low,nan,33,red country - conservative news,351.0,red country - conservative news
,,,,,,,,,https://mediabiasfactcheck.com/red-ice-tv/,questionable sources,low,sweden,"551,400",red ice tv,352.0,red ice tv
,,,,,,,,,https://mediabiasfactcheck.com/red-info/,questionable sources,very low,macedonia,7,red info,353.0,red info
,,,,,,,,,https://mediabiasfactcheck.com/red-people/,questionable sources,very low,macedonia,7,red people,354.0,red people
,,,,,,,,,https://mediabiasfactcheck.com/red-politics/,questionable sources,low,nan,4,red politics,355.0,red politics
,,,,,,,,,https://mediabiasfactcheck.com/red-rock-daily-news/,questionable sources,mixed,united states,75,qpolitical,356.0,qpolitical
,,,,,,,,,https://mediabiasfactcheck.com/red-rock-tribune/,questionable sources,low,united states,16,red rock tribune,357.0,red rock tribune
,,,,,,,,,https://mediabiasfactcheck.com/red-state-pundit/,questionable sources,low,unknown or invalid region,"1,071",red state pundit,358.0,red state pundit
,,,,,,,,,https://mediabiasfactcheck.com/red-state-watcher/,questionable sources,low,nan,"116,172",red state watcher,359.0,red state watcher
,,,,,,,,,https://mediabiasfactcheck.com/red-white-and-right/,questionable sources,low,nan,"3,331","red, white and right",360.0,"red, white and right"
,,,,,,,,,https://mediabiasfactcheck.com/redstatewave/,questionable sources,low,nan,41,redstatewave,361.0,redstatewave
,,,,,,,,,https://mediabiasfactcheck.com/reed-cooper-news/,questionable sources,low,united states,"3,271",reed cooper news,362.0,reed cooper news
,,,,,,,,,https://mediabiasfactcheck.com/renew-america/,questionable sources,low,united states,"954,240",renew america,363.0,renew america
,,,,,,,,,https://mediabiasfactcheck.com/return-of-kings/,questionable sources,low,nan,"287,316",return of kings,364.0,return of kings
,,,,,,,,,https://mediabiasfactcheck.com/right-alerts/,questionable sources,low,nan,"5,506",right alerts,365.0,right alerts
,,,,,,,,,https://mediabiasfactcheck.com/right-smarts/,questionable sources,mixed,nan,570,right smarts,366.0,right smarts
,,,,,,,,,https://mediabiasfactcheck.com/right-wing-news-rightwing-news/,questionable sources,low,nan,"18,558",right wing news (rightwing.news),367.0,right wing news (rightwing.news)
,,,,,,,,,https://mediabiasfactcheck.com/rinf/,questionable sources,low,nan,"159,126",rinf,369.0,rinf
,,,,,,,,,https://mediabiasfactcheck.com/rt-news/,questionable sources,very low,russia,"4,385,211",rt news,370.0,rt news
,,,,,,,,,https://mediabiasfactcheck.com/russia-insider/,questionable sources,low,russia,"50,634",russia insider,371.0,russia insider
,,,,,,,,,https://mediabiasfactcheck.com/russian-news-agency-tass/,questionable sources,mixed,russia,"1,477,814",russian news agency-tass,372.0,russian news agency-tass
,,,,,,,,,https://mediabiasfactcheck.com/ruth-institute/,questionable sources,mixed,united states,"62,133",ruth institute,373.0,ruth institute
,,,,,,,,,https://mediabiasfactcheck.com/santa-monica-observer/,questionable sources,low,united states,"47,171",santa monica observer,374.0,santa monica observer
,,,,,,,,,https://mediabiasfactcheck.com/shared-news-report/,questionable sources,low,unknown or invalid region,7,shared news report,375.0,shared news report
,,,,,,,,,https://mediabiasfactcheck.com/sharia-watch-uk/,questionable sources,very low,nan,"11,705",sharia watch uk,376.0,sharia watch uk
,,,,,,,,,https://mediabiasfactcheck.com/shtfplan-com/,questionable sources,mixed,nan,"631,148",shtfplan.com,377.0,shtfplan
,,,,,,,,,https://mediabiasfactcheck.com/sick-chirpse/,questionable sources,very low,nan,"201,647",sick chirpse,378.0,sick chirpse
,,,,,,,,,https://mediabiasfactcheck.com/smoloko-news/,questionable sources,very low,nan,"57,724",smoloko,379.0,smoloko
,,,,,,,,,https://mediabiasfactcheck.com/sons-of-1776/,questionable sources,low,united states,0,sons of 1776,380.0,sons of 1776
,,,,,,,,,https://mediabiasfactcheck.com/south-africa-today/,questionable sources,mixed,south africa,"48,795",south africa today,381.0,south africa today
,,,,,,,,,https://mediabiasfactcheck.com/speisa/,questionable sources,low,nan,"42,975",speisa,383.0,speisa
,,,,,,,,,https://mediabiasfactcheck.com/sputnik-news/,questionable sources,very low,russia,"2,957,272",sputnik,384.0,sputnik
,,,,,,,,,https://mediabiasfactcheck.com/squawker/,questionable sources,low,united states,"11,723",squawker,385.0,squawker
,,,,,,,,,https://mediabiasfactcheck.com/stares-at-the-world/,questionable sources,low,united states,"63,688",stares at the world,386.0,stares at the world
,,,,,,,,,https://mediabiasfactcheck.com/state-fort-daily/,questionable sources,very low,macedonia,"2,339",state fort,387.0,state fort
,,,,,,,,,https://mediabiasfactcheck.com/state-of-the-union-2012/,questionable sources,low,united states,"53,781",state of the nation 2012,388.0,state of the nation 2012
,,,,,,,,,https://mediabiasfactcheck.com/steadfast-and-loyal/,questionable sources,low,united states,"16,610",steadfast and loyal,389.0,steadfast and loyal
,,,,,,,,,https://mediabiasfactcheck.com/stone-cold-truth/,questionable sources,low,nan,"29,850",stone cold truth,390.0,stone cold truth
,,,,,,,,,https://mediabiasfactcheck.com/strategic-culture-foundation/,questionable sources,very low,russia,"660,234",strategic culture foundation,391.0,strategic culture foundation
,,,,,,,,,https://mediabiasfactcheck.com/studio-news-network/,questionable sources,mixed,nan,"1,410",studio news network,392.0,studio news network
,,,,,,,,,https://mediabiasfactcheck.com/subject-politics/,questionable sources,low,nan,93,subject politics,393.0,subject politics
,,,,,,,,,https://mediabiasfactcheck.com/sunday-inquirer/,questionable sources,very low,nan,27,sunday inquirer,394.0,sunday inquirer
,,,,,,,,,https://mediabiasfactcheck.com/sure-news/,questionable sources,low,nan,"19,566",sure news,395.0,sure news
,,,,,,,,,https://mediabiasfactcheck.com/survivalblog-com/,questionable sources,low,united states,"550,675",survivalblog.com,396.0,survivalblog
,,,,,,,,,https://mediabiasfactcheck.com/svijmedia-com/,questionable sources,low,nan,4,svijmedia.com,397.0,svijmedia
,,,,,,,,,https://mediabiasfactcheck.com/swampdrain-com/,questionable sources,low,nan,998,swampdrain.com,398.0,swampdrain
,,,,,,,,,https://mediabiasfactcheck.com/swarajya/,questionable sources,low,india,"113,883",swarajya,399.0,swarajya
,,,,,,,,,https://mediabiasfactcheck.com/takis-magazine/,questionable sources,low,united states,"704,477",taki's magazine,400.0,taki's magazine
,,,,,,,,,https://mediabiasfactcheck.com/tashnews/,questionable sources,low,unknown or invalid region,109,tashnews,401.0,tashnews
,,,,,,,,,https://mediabiasfactcheck.com/tasnim-news-agency/,questionable sources,mixed,iran,"4,351,622",tasnim news agency,402.0,tasnim news agency
,,,,,,,,,https://mediabiasfactcheck.com/td-newswire/,questionable sources,very low,nan,7,td newswire,403.0,td newswire
,,,,,,,,,https://mediabiasfactcheck.com/tdtalliance-com/,questionable sources,low,nan,194,tdtalliance.com,404.0,tdtalliance
,,,,,,,,,https://mediabiasfactcheck.com/tea-party-inc/,questionable sources,low,nan,"142,377",tea party inc.,405.0,tea party inc.
,,,,,,,,,https://mediabiasfactcheck.com/teddy-stick/,questionable sources,low,nan,33,teddy stick,406.0,teddy stick
,,,,,,,,,https://mediabiasfactcheck.com/tehran-times/,questionable sources,mixed,iran,"1,748,697",the tehran times,407.0,the tehran times
,,,,,,,,,https://mediabiasfactcheck.com/tell-me-now/,questionable sources,low,nan,163,tell me now,408.0,tell me now
,,,,,,,,,https://mediabiasfactcheck.com/the-american-mirror/,questionable sources,low,nan,"15,935",the american mirror,409.0,the american mirror
,,,,,,,,,https://mediabiasfactcheck.com/the-angry-patriot/,questionable sources,very low,nan,864,the angry patriot,410.0,the angry patriot
,,,,,,,,,https://mediabiasfactcheck.com/the-bearded-patriot/,questionable sources,low,united states,0,the bearded patriot,411.0,the bearded patriot
,,,,,,,,,https://mediabiasfactcheck.com/the-beltway-report/,questionable sources,mixed,united states,0,the beltway report,412.0,the beltway report
,,,,,,,,,https://mediabiasfactcheck.com/the-conservative-brief/,questionable sources,mixed,nan,"1,506",the conservative brief,413.0,the conservative brief
,,,,,,,,,https://mediabiasfactcheck.com/the-conservative-papers/,questionable sources,mixed,united states,nan,the conservative papers,414.0,the conservative papers
,,,,,,,,,https://mediabiasfactcheck.com/the-d-c-clothesline/,questionable sources,low,united states,"265,571",the dc clothesline,415.0,the dc clothesline
,,,,,,,,,https://mediabiasfactcheck.com/the-daily-bell/,questionable sources,low,nan,"262,561",the daily bell,416.0,the daily bell
,,,,,,,,,https://mediabiasfactcheck.com/the-deplorable-society/,questionable sources,low,nan,77,the deplorable society,417.0,the deplorable society
,,,,,,,,,https://mediabiasfactcheck.com/the-duran/,questionable sources,low,cyprus,"293,064",the duran,418.0,the duran
,,,,,,,,,https://mediabiasfactcheck.com/the-federalist-papers-project/,questionable sources,low,united states,"246,677",the federalist papers project,419.0,the federalist papers project
,,,,,,,,,https://mediabiasfactcheck.com/the-federation-for-american-immigration-reform-fair/,questionable sources,low,united states,"119,953",the federation for american immigration reform,420.0,the federation for american immigration reform
,,,,,,,,,https://mediabiasfactcheck.com/the-free-patriot/,questionable sources,low,nan,51,the free patriot,421.0,the free patriot
,,,,,,,,,https://mediabiasfactcheck.com/the-free-telegraph/,questionable sources,mixed,nan,"1,520",the free telegraph,422.0,the free telegraph
,,,,,,,,,https://mediabiasfactcheck.com/the-goldwater/,questionable sources,low,united states,"16,721",the goldwater,424.0,the goldwater
,,,,,,,,,https://mediabiasfactcheck.com/the-horn-news/,questionable sources,low,united states,"28,518",the horn,425.0,the horn
,,,,,,,,,https://mediabiasfactcheck.com/the-la-post/,questionable sources,low,united states,319,the la post,426.0,the la post
,,,,,,,,,https://mediabiasfactcheck.com/the-last-resistance/,questionable sources,low,united states,"8,811",the last resistance,427.0,the last resistance
,,,,,,,,,https://mediabiasfactcheck.com/the-laugh-club/,questionable sources,low,sweden,0,the laugh club,428.0,the laugh club
,,,,,,,,,https://mediabiasfactcheck.com/the-liberty-daily/,questionable sources,mixed,united states,"204,205",the liberty daily,429.0,the liberty daily
,,,,,,,,,https://mediabiasfactcheck.com/the-liberty-eagle/,questionable sources,mixed,nan,119,the liberty eagle,430.0,the liberty eagle
,,,,,,,,,https://mediabiasfactcheck.com/the-millennium-report/,questionable sources,low,united states,"36,142",the millennium report,431.0,the millennium report
,,,,,,,,,https://mediabiasfactcheck.com/the-national-patriot/,questionable sources,low,nan,"36,543",the national patriot,432.0,the national patriot
,,,,,,,,,https://mediabiasfactcheck.com/the-news-guru/,questionable sources,low,nan,176,the news guru,434.0,the news guru
,,,,,,,,,https://mediabiasfactcheck.com/the-other-98/,questionable sources,low,united states,"37,847",the other 98%,435.0,the other 98%
,,,,,,,,,https://mediabiasfactcheck.com/the-peoples-truth/,questionable sources,low,nan,644,the peoples truth,436.0,the peoples truth
,,,,,,,,,https://mediabiasfactcheck.com/the-political-tribune/,questionable sources,low,unknown or invalid region,17,the political tribune,437.0,the political tribune
,,,,,,,,,https://mediabiasfactcheck.com/the-politics-online/,questionable sources,low,unknown or invalid region,0,the politics online,438.0,the politics online
,,,,,,,,,https://mediabiasfactcheck.com/the-premium-news/,questionable sources,low,nan,20,the premium news,439.0,the premium news
,,,,,,,,,https://mediabiasfactcheck.com/the-proud-conservative/,questionable sources,low,nan,31,the proud conservative,440.0,the proud conservative
,,,,,,,,,https://mediabiasfactcheck.com/the-proud-liberal/,questionable sources,mixed,nan,"1,473",the proud liberal,441.0,the proud liberal
,,,,,,,,,https://mediabiasfactcheck.com/the-religion-of-peace/,questionable sources,low,nan,"2,217,238",the religion of peace,442.0,the religion of peace
,,,,,,,,,https://mediabiasfactcheck.com/the-remnant-magazine/,questionable sources,low,nan,"20,372",the remnant newspaper,443.0,the remnant newspaper
,,,,,,,,,https://mediabiasfactcheck.com/the-right-stuff/,questionable sources,very low,united states,"52,223",the right stuff,444.0,the right stuff
,,,,,,,,,https://mediabiasfactcheck.com/the-rightists/,questionable sources,low,nan,282,the rightists,445.0,the rightists
,,,,,,,,,https://mediabiasfactcheck.com/the-times-of-america/,questionable sources,low,nan,46,the times of america,446.0,the times of america
,,,,,,,,,https://mediabiasfactcheck.com/the-trump-media/,questionable sources,low,unknown or invalid region,4,the trump media,447.0,the trump media
,,,,,,,,,https://mediabiasfactcheck.com/the-truth-division/,questionable sources,low,nan,"3,966",the truth division,448.0,the truth division
,,,,,,,,,https://mediabiasfactcheck.com/the-union-journal/,questionable sources,low,unknown or invalid region,0,the union journal,449.0,the union journal
,,,,,,,,,https://mediabiasfactcheck.com/the-unz-report/,questionable sources,low,united states,"548,189",the unz review,450.0,the unz review
,,,,,,,,,https://mediabiasfactcheck.com/the-us-patriot/,questionable sources,low,nan,"1,061",the us patriot,451.0,the us patriot
,,,,,,,,,https://mediabiasfactcheck.com/the-usa-conservative/,questionable sources,low,nan,4,the usa conservative,452.0,the usa conservative
,,,,,,,,,https://mediabiasfactcheck.com/the-washington-feed/,questionable sources,mixed,united states,"24,407",the washington feed,453.0,the washington feed
,,,,,,,,,https://mediabiasfactcheck.com/the-washington-reporter/,questionable sources,mixed,united states,673,the washington reporter,454.0,the washington reporter
,,,,,,,,,https://mediabiasfactcheck.com/the-washington-sentinel/,questionable sources,mixed,united states,"90,741",the washington sentinel,455.0,the washington sentinel
,,,,,,,,,https://mediabiasfactcheck.com/thepoliticalbrief-com/,questionable sources,very low,unknown or invalid region,0,thepoliticalbrief.com,456.0,thepoliticalbrief
,,,,,,,,,https://mediabiasfactcheck.com/think-americana/,questionable sources,low,nan,"19,482",think americana,457.0,think americana
,,,,,,,,,https://mediabiasfactcheck.com/today-breaking-news/,questionable sources,low,panama,2,today breaking news,458.0,today breaking news
,,,,,,,,,https://mediabiasfactcheck.com/toofab/,questionable sources,mixed,united states,nan,toofab,459.0,toofab
,,,,,,,,,https://mediabiasfactcheck.com/top-right-news/,questionable sources,low,nan,"4,525",top right news,460.0,top right news
,,,,,,,,,https://mediabiasfactcheck.com/top-topic/,questionable sources,low,nan,0,top topic,461.0,top topic
,,,,,,,,,https://mediabiasfactcheck.com/tpl-news/,questionable sources,mixed,united states,"1,285",tpl news,462.0,tpl news
,,,,,,,,,https://mediabiasfactcheck.com/triggerreset/,questionable sources,low,nan,"50,609",trigger reset,463.0,trigger reset
,,,,,,,,,https://mediabiasfactcheck.com/true-activist/,questionable sources,low,united states,"87,933",center for immigration studies,464.0,center for immigration studies
,,,,,,,,,https://mediabiasfactcheck.com/true-blue-scoop/,questionable sources,low,united states,1,true blue scoop,465.0,true blue scoop
,,,,,,,,,https://mediabiasfactcheck.com/true-viral-news/,questionable sources,low,russia,"459,252",true viral news,466.0,true viral news
,,,,,,,,,https://mediabiasfactcheck.com/trump-news/,questionable sources,low,united states,"10,786",trump.news,467.0,trump.news
,,,,,,,,,https://mediabiasfactcheck.com/trump-train-news/,questionable sources,mixed,united states,0,trump train news,468.0,trump train news
,,,,,,,,,https://mediabiasfactcheck.com/trumpservative-news/,questionable sources,low,nan,175,trumpservative news,469.0,trumpservative news
,,,,,,,,,https://mediabiasfactcheck.com/truth-and-action/,questionable sources,low,united states,"30,750",truth and action,470.0,truth and action
,,,,,,,,,https://mediabiasfactcheck.com/truth-examiner/,questionable sources,low,germany,"2,687",true activist,471.0,true activist
,,,,,,,,,https://mediabiasfactcheck.com/truth-in-media/,questionable sources,low,nan,"140,162",truth in media,472.0,truth in media
,,,,,,,,,https://mediabiasfactcheck.com/truth-monitor/,questionable sources,low,nan,58,truth monitor,473.0,truth monitor
,,,,,,,,,https://mediabiasfactcheck.com/truth-revolt/,questionable sources,low,nan,"256,086",truth revolt,474.0,truth revolt
,,,,,,,,,https://mediabiasfactcheck.com/truth-uncensored/,questionable sources,low,nan,"16,313",truth uncensored,475.0,truth uncensored
,,,,,,,,,https://mediabiasfactcheck.com/truthfeed/,questionable sources,low,united states,"55,854",truthfeed,476.0,truthfeed
,,,,,,,,,https://mediabiasfactcheck.com/turning-point-usa/,questionable sources,low,united states,"86,607",turning point usa,477.0,turning point usa
,,,,,,,,,https://mediabiasfactcheck.com/uncle-sams-misguided-children/,questionable sources,low,united states,"14,420",uncle sam's misguided children,478.0,uncle sam's misguided children
,,,,,,,,,https://mediabiasfactcheck.com/underground-journalist/,questionable sources,low,nan,13,underground journalist,479.0,underground journalist
,,,,,,,,,https://mediabiasfactcheck.com/understanding-the-threat/,questionable sources,low,nan,"64,046",understanding the threat,480.0,understanding the threat
,,,,,,,,,https://mediabiasfactcheck.com/unique-web-magazine/,questionable sources,low,nan,68,unique web magazine,481.0,unique web magazine
,,,,,,,,,https://mediabiasfactcheck.com/us-advisor/,questionable sources,low,nan,"1,145",us advisor,482.0,us advisor
,,,,,,,,,https://mediabiasfactcheck.com/us-backlash/,questionable sources,very low,united states,"4,272",us backlash,483.0,us backlash
,,,,,,,,,https://mediabiasfactcheck.com/us-chronicle/,questionable sources,low,nan,17,us chronicle,484.0,us chronicle
,,,,,,,,,https://mediabiasfactcheck.com/us-herald/,questionable sources,low,unknown or invalid region,"10,505",us herald,485.0,us herald
,,,,,,,,,https://mediabiasfactcheck.com/us-info-news/,questionable sources,very low,macedonia,9,us info news,486.0,us info news
,,,,,,,,,https://mediabiasfactcheck.com/us-journal-review/,questionable sources,low,nan,64,us journal review,487.0,us journal review
,,,,,,,,,https://mediabiasfactcheck.com/us-liberty-wire-bias-credibility-fake-news/,questionable sources,low,unknown or invalid region,"1,560",us liberty wire,488.0,us liberty wire
,,,,,,,,,https://mediabiasfactcheck.com/us-national-news/,questionable sources,mixed,nan,"1,289",us national news,489.0,us national news
,,,,,,,,,https://mediabiasfactcheck.com/us-postman/,questionable sources,low,nan,279,uspostman,490.0,uspostman
,,,,,,,,,https://mediabiasfactcheck.com/usa-conservative-report/,questionable sources,low,nan,7,usa conservative report,491.0,usa conservative report
,,,,,,,,,https://mediabiasfactcheck.com/usa-daily-post/,questionable sources,low,nan,9,usa daily post,492.0,usa daily post
,,,,,,,,,https://mediabiasfactcheck.com/usa-daily-review/,questionable sources,very low,unknown or invalid region,2,usa daily review,493.0,usa daily review
,,,,,,,,,https://mediabiasfactcheck.com/usa-dose-news/,questionable sources,low,nan,22,usa dose news,494.0,usa dose news
,,,,,,,,,https://mediabiasfactcheck.com/usa-in-front/,questionable sources,low,nan,58,usa in front,495.0,usa in front
,,,,,,,,,https://mediabiasfactcheck.com/usa-is-online/,questionable sources,nan,unknown or invalid region,nan,usa is online,496.0,usa is online
,,,,,,,,,https://mediabiasfactcheck.com/usa-news-for-you/,questionable sources,low,nan,7,usa news for you,497.0,usa news for you
,,,,,,,,,https://mediabiasfactcheck.com/usa-newsflash/,questionable sources,low,nan,104,usa newsflash,498.0,usa newsflash
,,,,,,,,,https://mediabiasfactcheck.com/usa-newspolitics-usa-news/,questionable sources,very low,nan,6,usa news/politics news usa,499.0,usa news/politics news usa
,,,,,,,,,https://mediabiasfactcheck.com/usa-newsstates-tv/,questionable sources,low,unknown or invalid region,23,usa news/states-tv,500.0,usa news/states-tv
,,,,,,,,,https://mediabiasfactcheck.com/usa-politics-now/,questionable sources,low,unknown or invalid region,699,usa politics now,501.0,usa politics now
,,,,,,,,,https://mediabiasfactcheck.com/usa-public-life/,questionable sources,low,nan,4,usa public life,502.0,usa public life
,,,,,,,,,https://mediabiasfactcheck.com/usa-really/,questionable sources,very low,russia,"4,593",usa really,503.0,usa really
,,,,,,,,,https://mediabiasfactcheck.com/usa-supreme/,questionable sources,low,nan,"17,277",usa supreme,504.0,usa supreme
,,,,,,,,,https://mediabiasfactcheck.com/usa-viral-news-today/,questionable sources,low,unknown or invalid region,117,usa viral news today,505.0,usa viral news today
,,,,,,,,,https://mediabiasfactcheck.com/usa-world-box/,questionable sources,low,nan,2,usa world box,506.0,usa world box
,,,,,,,,,https://mediabiasfactcheck.com/usafirstinfo/,questionable sources,low,nan,7,usafirstinfo,507.0,usafirstinfo
,,,,,,,,,https://mediabiasfactcheck.com/usanetwork-info/,questionable sources,very low,unknown or invalid region,666,usanetwork.info,508.0,usanetwork.info
,,,,,,,,,https://mediabiasfactcheck.com/usanewstoday/,questionable sources,low,nan,15,usa news today,509.0,usa news today
,,,,,,,,,https://mediabiasfactcheck.com/uslibertywire-club/,questionable sources,very low,pakistan,0,uslibertywire.club,510.0,uslibertywire.club
,,,,,,,,,https://mediabiasfactcheck.com/vanguard-america/,questionable sources,low,united states,655,vanguard america,511.0,vanguard america
,,,,,,,,,https://mediabiasfactcheck.com/vatican-radio/,questionable sources,mixed,italy,"78,650",vatican radio,512.0,vatican radio
,,,,,,,,,https://mediabiasfactcheck.com/vdare/,questionable sources,low,united states,"290,167",vdare,513.0,vdare
,,,,,,,,,https://mediabiasfactcheck.com/vidmax-2/,questionable sources,low,nan,"40,341",vidmax,514.0,vidmax
,,,,,,,,,https://mediabiasfactcheck.com/viral-liberty/,questionable sources,very low,nan,"18,009",viral liberty,515.0,viral liberty
,,,,,,,,,https://mediabiasfactcheck.com/voice-of-europe/,questionable sources,low,nan,"135,535",voice of europe,516.0,voice of europe
,,,,,,,,,https://mediabiasfactcheck.com/walk-with-her/,questionable sources,low,united states,7,walk with her,517.0,walk with her
,,,,,,,,,https://mediabiasfactcheck.com/wallbuilders/,questionable sources,low,united states,"248,200",wallbuilders,518.0,wallbuilders
,,,,,,,,,https://mediabiasfactcheck.com/washington-pundit-bias-rating/,questionable sources,low,united states,"3,322",washington pundit,519.0,washington pundit
,,,,,,,,,https://mediabiasfactcheck.com/911truth-org/,conspiracy-pseudoscience,low,united states,"255,060",911truth.org,520.0,911truth
,,,,,,,,,https://mediabiasfactcheck.com/a-sheep-no-more/,conspiracy-pseudoscience,low,unknown or invalid region,"21,733",a sheep no more,521.0,a sheep no more
,,,,,,,,,https://mediabiasfactcheck.com/above-top-secret/,conspiracy-pseudoscience,low,united states,"170,438",above top secret,522.0,above top secret
,,,,,,,,,https://mediabiasfactcheck.com/activist-post/,conspiracy-pseudoscience,low,unknown or invalid region,"878,290",activist post,523.0,activist post
,,,,,,,,,https://mediabiasfactcheck.com/age-of-autism/,conspiracy-pseudoscience,low,united states,"238,142",age of autism,524.0,age of autism
,,,,,,,,,https://mediabiasfactcheck.com/alternative-media-television-amtv/,conspiracy-pseudoscience,low,united states,"11,564",alternative media television (amtv),525.0,alternative media television (amtv)
,,,,,,,,,https://mediabiasfactcheck.com/alternativenews-com/,conspiracy-pseudoscience,low,united states,"7,650",alternativenews.com,526.0,alternativenews
,,,,,,,,,https://mediabiasfactcheck.com/althealth-works/,conspiracy-pseudoscience,low,united states,"65,126",althealth works,527.0,althealth works
,,,,,,,,,https://mediabiasfactcheck.com/american-free-press/,conspiracy-pseudoscience,low,united states,"224,222",american free press,528.0,american free press
,,,,,,,,,https://mediabiasfactcheck.com/anonymous/,conspiracy-pseudoscience,low,united states,"16,864",anonymous,529.0,anonymous
,,,,,,,,,https://mediabiasfactcheck.com/answers-in-genesis/,conspiracy-pseudoscience,low,united states,"639,945",answers in genesis,530.0,answers in genesis
,,,,,,,,,https://mediabiasfactcheck.com/assassination-science/,conspiracy-pseudoscience,low,united states,586,assassination science,531.0,assassination science
,,,,,,,,,https://mediabiasfactcheck.com/australian-national-review/,conspiracy-pseudoscience,low,australia,169,australian national review,532.0,australian national review
,,,,,,,,,https://mediabiasfactcheck.com/awareness-act/,conspiracy-pseudoscience,low,unknown or invalid region,"65,784",awareness act,533.0,awareness act
,,,,,,,,,https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/,conspiracy-pseudoscience,low,united states,"234,864",christian apologetics & research ministry (carm),534.0,christian apologetics & research ministry (carm)
,,,,,,,,,https://mediabiasfactcheck.com/christian-ministries-international/,conspiracy-pseudoscience,low,united states,"288,955",christian ministries international,535.0,christian ministries international
,,,,,,,,,https://mediabiasfactcheck.com/christian-science/,conspiracy-pseudoscience,low,united states,"202,936",christian science,536.0,christian science
,,,,,,,,,https://mediabiasfactcheck.com/christian-times-newspaper/,conspiracy-pseudoscience,low,united states,483,christian times newspaper,537.0,christian times newspaper
,,,,,,,,,https://mediabiasfactcheck.com/christiantoday-info/,conspiracy-pseudoscience,low,united states,7,christiantoday.info,538.0,christiantoday.info
,,,,,,,,,https://mediabiasfactcheck.com/climate-change-dispatch/,conspiracy-pseudoscience,low,united states,"2,444",climate change dispatch,539.0,climate change dispatch
,,,,,,,,,https://mediabiasfactcheck.com/climatism/,conspiracy-pseudoscience,low,australia,"14,718",climatism,540.0,climatism
,,,,,,,,,https://mediabiasfactcheck.com/coast-to-coast-am/,conspiracy-pseudoscience,low,united states,"553,968",coast to coast am,541.0,coast to coast am
,,,,,,,,,https://mediabiasfactcheck.com/collective-evolution/,conspiracy-pseudoscience,low,united states,"235,687",collective evolution,542.0,collective evolution
,,,,,,,,,https://mediabiasfactcheck.com/collectively-conscious/,conspiracy-pseudoscience,low,united states,"22,641",collectively conscious,543.0,collectively conscious
,,,,,,,,,https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/,conspiracy-pseudoscience,low,united states,"83,440",the committee for a constructive tomorrow (cfact),544.0,themittee for a constructive tomorrow (cfact)
