name_mbfc,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
the us patriot,https://mediabiasfactcheck.com/the-us-patriot/,questionable sources,low,,"1,061"
the usa conservative,https://mediabiasfactcheck.com/the-usa-conservative/,questionable sources,low,,4
the washington feed,https://mediabiasfactcheck.com/the-washington-feed/,questionable sources,mixed,united states,"24,407"
the washington reporter,https://mediabiasfactcheck.com/the-washington-reporter/,questionable sources,mixed,united states,673
the washington sentinel,https://mediabiasfactcheck.com/the-washington-sentinel/,questionable sources,mixed,united states,"90,741"
thepoliticalbrief,https://mediabiasfactcheck.com/thepoliticalbrief-com/,questionable sources,very low,unknown or invalid region,0
think americana,https://mediabiasfactcheck.com/think-americana/,questionable sources,low,,"19,482"
today breaking news,https://mediabiasfactcheck.com/today-breaking-news/,questionable sources,low,panama,2
toofab,https://mediabiasfactcheck.com/toofab/,questionable sources,mixed,united states,
top right news,https://mediabiasfactcheck.com/top-right-news/,questionable sources,low,,"4,525"
top topic,https://mediabiasfactcheck.com/top-topic/,questionable sources,low,,0
tpl news,https://mediabiasfactcheck.com/tpl-news/,questionable sources,mixed,united states,"1,285"
trigger reset,https://mediabiasfactcheck.com/triggerreset/,questionable sources,low,,"50,609"
center for immigration studies,https://mediabiasfactcheck.com/true-activist/,questionable sources,low,united states,"87,933"
true blue scoop,https://mediabiasfactcheck.com/true-blue-scoop/,questionable sources,low,united states,1
true viral news,https://mediabiasfactcheck.com/true-viral-news/,questionable sources,low,russia,"459,252"
trump.news,https://mediabiasfactcheck.com/trump-news/,questionable sources,low,united states,"10,786"
trump train news,https://mediabiasfactcheck.com/trump-train-news/,questionable sources,mixed,united states,0
trumpservative news,https://mediabiasfactcheck.com/trumpservative-news/,questionable sources,low,,175
truth and action,https://mediabiasfactcheck.com/truth-and-action/,questionable sources,low,united states,"30,750"
true activist,https://mediabiasfactcheck.com/truth-examiner/,questionable sources,low,germany,"2,687"
truth in media,https://mediabiasfactcheck.com/truth-in-media/,questionable sources,low,,"140,162"
truth monitor,https://mediabiasfactcheck.com/truth-monitor/,questionable sources,low,,58
truth revolt,https://mediabiasfactcheck.com/truth-revolt/,questionable sources,low,,"256,086"
truth uncensored,https://mediabiasfactcheck.com/truth-uncensored/,questionable sources,low,,"16,313"
truthfeed,https://mediabiasfactcheck.com/truthfeed/,questionable sources,low,united states,"55,854"
turning point usa,https://mediabiasfactcheck.com/turning-point-usa/,questionable sources,low,united states,"86,607"
uncle sam's misguided children,https://mediabiasfactcheck.com/uncle-sams-misguided-children/,questionable sources,low,united states,"14,420"
underground journalist,https://mediabiasfactcheck.com/underground-journalist/,questionable sources,low,,13
understanding the threat,https://mediabiasfactcheck.com/understanding-the-threat/,questionable sources,low,,"64,046"
unique web magazine,https://mediabiasfactcheck.com/unique-web-magazine/,questionable sources,low,,68
us advisor,https://mediabiasfactcheck.com/us-advisor/,questionable sources,low,,"1,145"
us backlash,https://mediabiasfactcheck.com/us-backlash/,questionable sources,very low,united states,"4,272"
us chronicle,https://mediabiasfactcheck.com/us-chronicle/,questionable sources,low,,17
us herald,https://mediabiasfactcheck.com/us-herald/,questionable sources,low,unknown or invalid region,"10,505"
us info news,https://mediabiasfactcheck.com/us-info-news/,questionable sources,very low,macedonia,9
us journal review,https://mediabiasfactcheck.com/us-journal-review/,questionable sources,low,,64
us liberty wire,https://mediabiasfactcheck.com/us-liberty-wire-bias-credibility-fake-news/,questionable sources,low,unknown or invalid region,"1,560"
us national news,https://mediabiasfactcheck.com/us-national-news/,questionable sources,mixed,,"1,289"
uspostman,https://mediabiasfactcheck.com/us-postman/,questionable sources,low,,279
usa conservative report,https://mediabiasfactcheck.com/usa-conservative-report/,questionable sources,low,,7
usa daily post,https://mediabiasfactcheck.com/usa-daily-post/,questionable sources,low,,9
usa daily review,https://mediabiasfactcheck.com/usa-daily-review/,questionable sources,very low,unknown or invalid region,2
usa dose news,https://mediabiasfactcheck.com/usa-dose-news/,questionable sources,low,,22
usa in front,https://mediabiasfactcheck.com/usa-in-front/,questionable sources,low,,58
usa is online,https://mediabiasfactcheck.com/usa-is-online/,questionable sources,,unknown or invalid region,
usa news for you,https://mediabiasfactcheck.com/usa-news-for-you/,questionable sources,low,,7
usa newsflash,https://mediabiasfactcheck.com/usa-newsflash/,questionable sources,low,,104
usa news/politics news usa,https://mediabiasfactcheck.com/usa-newspolitics-usa-news/,questionable sources,very low,,6
usa news/states-tv,https://mediabiasfactcheck.com/usa-newsstates-tv/,questionable sources,low,unknown or invalid region,23
usa politics now,https://mediabiasfactcheck.com/usa-politics-now/,questionable sources,low,unknown or invalid region,699
usa public life,https://mediabiasfactcheck.com/usa-public-life/,questionable sources,low,,4
usa really,https://mediabiasfactcheck.com/usa-really/,questionable sources,very low,russia,"4,593"
usa supreme,https://mediabiasfactcheck.com/usa-supreme/,questionable sources,low,,"17,277"
usa viral news today,https://mediabiasfactcheck.com/usa-viral-news-today/,questionable sources,low,unknown or invalid region,117
usa world box,https://mediabiasfactcheck.com/usa-world-box/,questionable sources,low,,2
usafirstinfo,https://mediabiasfactcheck.com/usafirstinfo/,questionable sources,low,,7
usanetwork.info,https://mediabiasfactcheck.com/usanetwork-info/,questionable sources,very low,unknown or invalid region,666
usa news today,https://mediabiasfactcheck.com/usanewstoday/,questionable sources,low,,15
uslibertywire.club,https://mediabiasfactcheck.com/uslibertywire-club/,questionable sources,very low,pakistan,0
vanguard america,https://mediabiasfactcheck.com/vanguard-america/,questionable sources,low,united states,655
vatican radio,https://mediabiasfactcheck.com/vatican-radio/,questionable sources,mixed,italy,"78,650"
vdare,https://mediabiasfactcheck.com/vdare/,questionable sources,low,united states,"290,167"
vidmax,https://mediabiasfactcheck.com/vidmax-2/,questionable sources,low,,"40,341"
viral liberty,https://mediabiasfactcheck.com/viral-liberty/,questionable sources,very low,,"18,009"
voice of europe,https://mediabiasfactcheck.com/voice-of-europe/,questionable sources,low,,"135,535"
walk with her,https://mediabiasfactcheck.com/walk-with-her/,questionable sources,low,united states,7
wallbuilders,https://mediabiasfactcheck.com/wallbuilders/,questionable sources,low,united states,"248,200"
washington pundit,https://mediabiasfactcheck.com/washington-pundit-bias-rating/,questionable sources,low,united states,"3,322"
911truth,https://mediabiasfactcheck.com/911truth-org/,conspiracy-pseudoscience,low,united states,"255,060"
a sheep no more,https://mediabiasfactcheck.com/a-sheep-no-more/,conspiracy-pseudoscience,low,unknown or invalid region,"21,733"
above top secret,https://mediabiasfactcheck.com/above-top-secret/,conspiracy-pseudoscience,low,united states,"170,438"
activist post,https://mediabiasfactcheck.com/activist-post/,conspiracy-pseudoscience,low,unknown or invalid region,"878,290"
age of autism,https://mediabiasfactcheck.com/age-of-autism/,conspiracy-pseudoscience,low,united states,"238,142"
alternative media television (amtv),https://mediabiasfactcheck.com/alternative-media-television-amtv/,conspiracy-pseudoscience,low,united states,"11,564"
alternativenews,https://mediabiasfactcheck.com/alternativenews-com/,conspiracy-pseudoscience,low,united states,"7,650"
althealth works,https://mediabiasfactcheck.com/althealth-works/,conspiracy-pseudoscience,low,united states,"65,126"
american free press,https://mediabiasfactcheck.com/american-free-press/,conspiracy-pseudoscience,low,united states,"224,222"
anonymous,https://mediabiasfactcheck.com/anonymous/,conspiracy-pseudoscience,low,united states,"16,864"
answers in genesis,https://mediabiasfactcheck.com/answers-in-genesis/,conspiracy-pseudoscience,low,united states,"639,945"
assassination science,https://mediabiasfactcheck.com/assassination-science/,conspiracy-pseudoscience,low,united states,586
australian national review,https://mediabiasfactcheck.com/australian-national-review/,conspiracy-pseudoscience,low,australia,169
awareness act,https://mediabiasfactcheck.com/awareness-act/,conspiracy-pseudoscience,low,unknown or invalid region,"65,784"
christian apologetics & research ministry (carm),https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/,conspiracy-pseudoscience,low,united states,"234,864"
christian ministries international,https://mediabiasfactcheck.com/christian-ministries-international/,conspiracy-pseudoscience,low,united states,"288,955"
christian science,https://mediabiasfactcheck.com/christian-science/,conspiracy-pseudoscience,low,united states,"202,936"
christian times newspaper,https://mediabiasfactcheck.com/christian-times-newspaper/,conspiracy-pseudoscience,low,united states,483
christiantoday.info,https://mediabiasfactcheck.com/christiantoday-info/,conspiracy-pseudoscience,low,united states,7
climate change dispatch,https://mediabiasfactcheck.com/climate-change-dispatch/,conspiracy-pseudoscience,low,united states,"2,444"
climatism,https://mediabiasfactcheck.com/climatism/,conspiracy-pseudoscience,low,australia,"14,718"
coast to coast am,https://mediabiasfactcheck.com/coast-to-coast-am/,conspiracy-pseudoscience,low,united states,"553,968"
collective evolution,https://mediabiasfactcheck.com/collective-evolution/,conspiracy-pseudoscience,low,united states,"235,687"
collectively conscious,https://mediabiasfactcheck.com/collectively-conscious/,conspiracy-pseudoscience,low,united states,"22,641"
themittee for a constructive tomorrow (cfact),https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/,conspiracy-pseudoscience,low,united states,"83,440"
conspiracy daily update,https://mediabiasfactcheck.com/conspiracy-daily-update/,conspiracy-pseudoscience,low,united states,"2,280"
conspiracy planet,https://mediabiasfactcheck.com/conspiracy-planet/,conspiracy-pseudoscience,low,united states,"26,696"
cosmic intelligence agency,https://mediabiasfactcheck.com/cosmic-intelligence-agency/,conspiracy-pseudoscience,low,united states,"76,841"
countdown to zerotime,https://mediabiasfactcheck.com/countdown-to-zerotime/,conspiracy-pseudoscience,low,united states,512
cs globe,https://mediabiasfactcheck.com/cs-globe/,conspiracy-pseudoscience,low,united states,"5,748"
curious mind magazine,https://mediabiasfactcheck.com/curious-mind-magazine/,conspiracy-pseudoscience,low,united states,"5,300"
daily occupation,https://mediabiasfactcheck.com/daily-occupation/,conspiracy-pseudoscience,low,,"8,464"
dailyhealthpost,https://mediabiasfactcheck.com/dailyhealthpost/,conspiracy-pseudoscience,low,canada,"10,877"
dark journalist,https://mediabiasfactcheck.com/dark-journalist/,conspiracy-pseudoscience,low,united states,"3,708"
data asylum,https://mediabiasfactcheck.com/data-asylum/,conspiracy-pseudoscience,low,canada,719
disclose tv,https://mediabiasfactcheck.com/disclose-tv/,conspiracy-pseudoscience,low,germany,"219,482"
discovery institute,https://mediabiasfactcheck.com/discovery-institute/,conspiracy-pseudoscience,low,united states,"171,078"
earth we are one (ewao),https://mediabiasfactcheck.com/earth-one-ewao/,conspiracy-pseudoscience,low,united states,"31,950"
earthpulse press,https://mediabiasfactcheck.com/earthpulse-press/,conspiracy-pseudoscience,low,united states,"46,030"
end time headlines,https://mediabiasfactcheck.com/end-time-headlines/,conspiracy-pseudoscience,low,united states,"146,564"
escape all these things,https://mediabiasfactcheck.com/escape-all-these-things/,conspiracy-pseudoscience,low,united states,"10,629"
every news here,https://mediabiasfactcheck.com/every-news-here/,conspiracy-pseudoscience,low,unknown or invalid region,11
evidence for god from science,https://mediabiasfactcheck.com/evidence-for-god-from-science/,conspiracy-pseudoscience,low,united states,"45,030"
evolution news and views,https://mediabiasfactcheck.com/evolution-news-and-views/,conspiracy-pseudoscience,low,united states,"77,632"
family survival headlines,https://mediabiasfactcheck.com/family-survival-headlines/,conspiracy-pseudoscience,low,united states,"56,596"
fellowship of the minds,https://mediabiasfactcheck.com/fellowship-of-the-minds/,conspiracy-pseudoscience,low,united states,"107,649"
forever conscious,https://mediabiasfactcheck.com/forever-conscious/,conspiracy-pseudoscience,low,,"27,684"
free thought project,https://mediabiasfactcheck.com/free-thought-project/,conspiracy-pseudoscience,low,united states,"1,503,377"
freedom advocates,https://mediabiasfactcheck.com/freedom-advocates-agenda-21/,conspiracy-pseudoscience,low,united states,"317,189"
from the trenches world report,https://mediabiasfactcheck.com/from-the-trenches-world-report/,conspiracy-pseudoscience,low,united states,"77,785"
geoengineering watch,https://mediabiasfactcheck.com/geoengineering-watch/,conspiracy-pseudoscience,low,united states,"194,856"
get holistic health,https://mediabiasfactcheck.com/get-holistic-health/,conspiracy-pseudoscience,low,unknown or invalid region,0
getcancerremedies,https://mediabiasfactcheck.com/getcancerremedies-com/,conspiracy-pseudoscience,low,pakistan,5
global research,https://mediabiasfactcheck.com/global-research/,conspiracy-pseudoscience,low,canada,"3,301,091"
godlike productions,https://mediabiasfactcheck.com/godlike-productions/,conspiracy-pseudoscience,low,united states,"1,888,686"
got questions,https://mediabiasfactcheck.com/got-questions-gotquestions-org/,conspiracy-pseudoscience,low,united states,"315,253"
government slaves,https://mediabiasfactcheck.com/government-slaves/,conspiracy-pseudoscience,low,united states,"1,676"
greenmedinfo,https://mediabiasfactcheck.com/greenmedinfo/,conspiracy-pseudoscience,low,united states,0
greenville gazette,https://mediabiasfactcheck.com/greenville-gazette/,left,low,united states,"9,908"
gulag bound,https://mediabiasfactcheck.com/gulag-bound/,conspiracy-pseudoscience,low,united states,"143,116"
haarp.net,https://mediabiasfactcheck.com/haarp-net/,conspiracy-pseudoscience,low,united states,"24,986"
health consciousness,https://mediabiasfactcheck.com/health-consciousness/,conspiracy-pseudoscience,low,unknown or invalid region,"1,438"
health impact news,https://mediabiasfactcheck.com/health-impact-news/,conspiracy-pseudoscience,low,united states,"63,672"
health sciences institute,https://mediabiasfactcheck.com/health-sciences-institute/,conspiracy-pseudoscience,low,united states,"37,764"
healthy food house,https://mediabiasfactcheck.com/healthy-food-house/,conspiracy-pseudoscience,low,macedonia,0
healthy holistic living,https://mediabiasfactcheck.com/healthy-holistic-living/,conspiracy-pseudoscience,low,united states,"15,899"
healthy vibes,https://mediabiasfactcheck.com/healthy-vibes/,conspiracy-pseudoscience,low,unknown or invalid region,"5,415"
henry makow (savethemales.ca),https://mediabiasfactcheck.com/henry-makow-savethemales-ca/,conspiracy-pseudoscience,low,canada,"75,276"
hl12,https://mediabiasfactcheck.com/hl12/,conspiracy-pseudoscience,low,unknown or invalid region,1
humans are free,https://mediabiasfactcheck.com/humans-are-free/,conspiracy-pseudoscience,low,united states,"67,983"
ice age now,https://mediabiasfactcheck.com/ice-age-now/,conspiracy-pseudoscience,low,united states,"65,196"
ihealthtube,https://mediabiasfactcheck.com/ihealthtube/,conspiracy-pseudoscience,low,united states,"51,856"
illuminati news,https://mediabiasfactcheck.com/illuminati-news/,conspiracy-pseudoscience,low,united states,"17,476"
illuminati watcher,https://mediabiasfactcheck.com/illuminati-watcher/,conspiracy-pseudoscience,low,united states,"27,378"
infinite unknown,https://mediabiasfactcheck.com/infinite-unknown/,conspiracy-pseudoscience,low,unknown or invalid region,"68,203"
intellihub,https://mediabiasfactcheck.com/intellihub/,conspiracy-pseudoscience,low,united states,"171,948"
iowa climate science education,https://mediabiasfactcheck.com/iowa-climate-science-education/,conspiracy-pseudoscience,low,united states,72
jesus daily,https://mediabiasfactcheck.com/jesus-daily/,conspiracy-pseudoscience,low,united states,"7,755"
jesus is savior,https://mediabiasfactcheck.com/jesus-is-savior/,conspiracy-pseudoscience,low,united states,"63,948"
jews news,https://mediabiasfactcheck.com/jews-news/,conspiracy-pseudoscience,low,israel,299
junkscience,https://mediabiasfactcheck.com/junkscience-com/,conspiracy-pseudoscience,low,united states,"213,858"
knowledge of today,https://mediabiasfactcheck.com/knowledge-of-today/,conspiracy-pseudoscience,low,unknown or invalid region,"18,561"
larouche pac,https://mediabiasfactcheck.com/larouche-pac/,conspiracy-pseudoscience,low,united states,"130,504"
liberty videos,https://mediabiasfactcheck.com/liberty-videos/,conspiracy-pseudoscience,low,united states,48
lifespa,https://mediabiasfactcheck.com/lifespa/,conspiracy-pseudoscience,low,united states,"5,133"
medicine news,https://mediabiasfactcheck.com/medicine-news/,conspiracy-pseudoscience,low,united states,"46,138"
mercola,https://mediabiasfactcheck.com/mercola/,conspiracy-pseudoscience,low,united states,"327,430"
morning ledger,https://mediabiasfactcheck.com/morning-ledger/,conspiracy-pseudoscience,low,australia,"5,317"
national file,https://mediabiasfactcheck.com/national-file/,conspiracy-pseudoscience,low,united states,0
national vaccine information institute,https://mediabiasfactcheck.com/national-vaccine-information-center-nvic/,conspiracy-pseudoscience,low,united states,"1,632,892"
natural cures not medicine,https://mediabiasfactcheck.com/natural-cures-not-medicine/,conspiracy-pseudoscience,low,unknown or invalid region,5
need to know,https://mediabiasfactcheck.com/need-to-know/,conspiracy-pseudoscience,low,united states,"209,042"
neon nettle,https://mediabiasfactcheck.com/neon-nettle/,conspiracy-pseudoscience,low,united states,"488,943"
news target,https://mediabiasfactcheck.com/news-target/,conspiracy-pseudoscience,low,united states,"178,937"
nodisinfo,https://mediabiasfactcheck.com/nodisinfo/,conspiracy-pseudoscience,low,unknown or invalid region,"4,436"
notrickszone,https://mediabiasfactcheck.com/notrickszone/,conspiracy-pseudoscience,low,germany,"218,877"
now the end begins,https://mediabiasfactcheck.com/now-the-end-begins/,conspiracy-pseudoscience,low,,"115,818"
our health guides,https://mediabiasfactcheck.com/our-health-guides/,conspiracy-pseudoscience,low,unknown or invalid region,101
oye.news,https://mediabiasfactcheck.com/oye-news/,conspiracy-pseudoscience,low,united kingdom,49
pak alert press,https://mediabiasfactcheck.com/pak-alert-press/,conspiracy-pseudoscience,low,unknown or invalid region,"133,190"
political blindspot,https://mediabiasfactcheck.com/political-blind-spot/,conspiracy-pseudoscience,low,unknown or invalid region,"9,464"
prepare for change,https://mediabiasfactcheck.com/prepare-for-change/,conspiracy-pseudoscience,low,,"97,606"
principia scientific international,https://mediabiasfactcheck.com/principia-scientific-international/,conspiracy-pseudoscience,low,united kingdom,"5,106"
prison planet,https://mediabiasfactcheck.com/prison-planet/,conspiracy-pseudoscience,low,,"2,071,789"
prophecy news watch,https://mediabiasfactcheck.com/prophecy-news-watch/,conspiracy-pseudoscience,low,united states,"24,281"
prophecy today,https://mediabiasfactcheck.com/prophecy-today/,conspiracy-pseudoscience,low,,"47,910"
rapture news network,https://mediabiasfactcheck.com/rapture-news-network/,conspiracy-pseudoscience,low,united states,"8,066"
real climate science,https://mediabiasfactcheck.com/real-climate-science/,conspiracy-pseudoscience,low,united states,0
real jew news,https://mediabiasfactcheck.com/real-jew-news/,conspiracy-pseudoscience,low,,"99,305"
real news 24,https://mediabiasfactcheck.com/real-news-24/,conspiracy-pseudoscience,low,,"11,577"
realfarmacy,https://mediabiasfactcheck.com/realfarmacy/,conspiracy-pseudoscience,low,,"15,645"
reflection of mind,https://mediabiasfactcheck.com/reflection-of-mind/,conspiracy-pseudoscience,low,,"1,611"
rense,https://mediabiasfactcheck.com/rense/,conspiracy-pseudoscience,low,,"450,329"
return to now,https://mediabiasfactcheck.com/return-to-now/,conspiracy-pseudoscience,low,united states,"2,352"
revolution radio,https://mediabiasfactcheck.com/revolution-radio/,conspiracy-pseudoscience,low,united states,"69,334"
sanevax,https://mediabiasfactcheck.com/sanevax/,conspiracy-pseudoscience,low,,"22,892"
debunking skeptics,https://mediabiasfactcheck.com/scepcop-debunking-skeptics/,conspiracy-pseudoscience,low,united states,"91,254"
sgt report,https://mediabiasfactcheck.com/sgt-report/,conspiracy-pseudoscience,low,,"363,255"
sheep killers,https://mediabiasfactcheck.com/sheep-killers/,conspiracy-pseudoscience,low,,64
shoebat,https://mediabiasfactcheck.com/shoebat/,conspiracy-pseudoscience,low,,"319,856"
skeptiko,https://mediabiasfactcheck.com/skeptiko/,conspiracy-pseudoscience,low,,"21,084"
stillness in the storm,https://mediabiasfactcheck.com/stillness-in-the-storm/,conspiracy-pseudoscience,low,,"48,326"
storm clouds gathering,https://mediabiasfactcheck.com/storm-clouds-gathering/,conspiracy-pseudoscience,low,united states,"20,278"
stormfront,https://mediabiasfactcheck.com/stormfront/,conspiracy-pseudoscience,low,united states,"48,054"
sustainable pulse,https://mediabiasfactcheck.com/sustainable-pulse/,conspiracy-pseudoscience,low,,"9,267"
the aware,https://mediabiasfactcheck.com/the-aware/,conspiracy-pseudoscience,low,unknown or invalid region,2
themon sense show,https://mediabiasfactcheck.com/the-common-sense-show/,conspiracy-pseudoscience,low,,"72,667"
the controversial files,https://mediabiasfactcheck.com/the-controversial-files/,conspiracy-pseudoscience,low,unknown or invalid region,"4,218"
the corbett report,https://mediabiasfactcheck.com/the-corbett-report/,conspiracy-pseudoscience,low,japan,"798,601"
the daily conspiracy,https://mediabiasfactcheck.com/the-daily-conspiracy/,conspiracy-pseudoscience,low,,"1,172"
the daily sheeple,https://mediabiasfactcheck.com/the-daily-sheeple/,conspiracy-pseudoscience,low,,"433,879"
the event chronicle,https://mediabiasfactcheck.com/the-event-chronicle/,conspiracy-pseudoscience,low,unknown or invalid region,"50,708"
the forbidden knowledge,https://mediabiasfactcheck.com/the-forbidden-knowledge/,conspiracy-pseudoscience,low,united states,"39,596"
the last great stand,https://mediabiasfactcheck.com/the-last-great-stand/,conspiracy-pseudoscience,low,unknown or invalid region,"85,073"
the liberty beacon,https://mediabiasfactcheck.com/the-liberty-beacon/,conspiracy-pseudoscience,low,,"132,982"
the mind unleashed,https://mediabiasfactcheck.com/the-mind-unleashed/,conspiracy-pseudoscience,low,,"62,541"
the rundown live,https://mediabiasfactcheck.com/the-rundown-live/,conspiracy-pseudoscience,low,,"14,898"
the truth about cancer,https://mediabiasfactcheck.com/the-truth-about-cancer/,conspiracy-pseudoscience,low,united states,"16,647"
the truth seeker,https://mediabiasfactcheck.com/the-truth-seeker/,conspiracy-pseudoscience,low,,"327,335"
the waking times,https://mediabiasfactcheck.com/the-waking-times/,conspiracy-pseudoscience,low,,"285,040"
thinking mom's revolution,https://mediabiasfactcheck.com/thinking-moms-revolution/,conspiracy-pseudoscience,low,united states,"15,073"
thought crime radio,https://mediabiasfactcheck.com/thought-crime-radio/,conspiracy-pseudoscience,low,,"31,064"
thrive movement,https://mediabiasfactcheck.com/thrive-movement/,conspiracy-pseudoscience,low,united states,"88,954"
topinfo post,https://mediabiasfactcheck.com/topinfo-post/,conspiracy-pseudoscience,low,unknown or invalid region,"7,343"
true pundit,https://mediabiasfactcheck.com/true-pundit/,conspiracy-pseudoscience,low,united states,"112,552"
trunews,https://mediabiasfactcheck.com/trunews/,conspiracy-pseudoscience,low,,"133,588"
truth broadcasting network,https://mediabiasfactcheck.com/truth-broadcasting-network/,conspiracy-pseudoscience,low,unknown or invalid region,0
truth broadcating network,https://mediabiasfactcheck.com/truth-broadcasting-network/,conspiracy-pseudoscience,low,,226
truth channel politics,https://mediabiasfactcheck.com/truth-channel-politics/,conspiracy-pseudoscience,low,unknown or invalid region,17
twisted news,https://mediabiasfactcheck.com/twisted-news/,conspiracy-pseudoscience,low,,"10,366"
underground health,https://mediabiasfactcheck.com/underground-health/,conspiracy-pseudoscience,low,unknown or invalid region,"3,166"
usa hitman,https://mediabiasfactcheck.com/usa-hitman/,conspiracy-pseudoscience,low,unknown or invalid region,"39,603"
usawatchdog,https://mediabiasfactcheck.com/usawatchdog-com/,conspiracy-pseudoscience,low,united states,"120,994"
vaccine news,https://mediabiasfactcheck.com/vaccines-news/,conspiracy-pseudoscience,low,,"8,008"
vaccines revealed,https://mediabiasfactcheck.com/vaccines-revealed/,conspiracy-pseudoscience,low,,"1,322"
vactruth,https://mediabiasfactcheck.com/vactruth-com/,conspiracy-pseudoscience,low,,"48,215"
vaxxter,https://mediabiasfactcheck.com/vaxxter/,conspiracy-pseudoscience,low,,"13,782"
vigilant citizen,https://mediabiasfactcheck.com/vigilant-citizen/,conspiracy-pseudoscience,low,united states,"642,571"
viral news network,https://mediabiasfactcheck.com/viral-news-network/,conspiracy-pseudoscience,low,,3
voice of america tv,https://mediabiasfactcheck.com/voice-of-america-tv-voiceofamericatv-com/,conspiracy-pseudoscience,low,unknown or invalid region,"4,085"
wake up world,https://mediabiasfactcheck.com/wake-up-world/,conspiracy-pseudoscience,low,unknown or invalid region,"152,604"
21st century wire,https://mediabiasfactcheck.com/21st-century-wire/,conspiracy-pseudoscience,mixed,united states,"332,291"
2ndvote,https://mediabiasfactcheck.com/2ndvote/,right,mixed,united states,708
369 news,https://mediabiasfactcheck.com/369news/,conspiracy-pseudoscience,mixed,unknown or invalid region,"1,969"
7news,https://mediabiasfactcheck.com/7news/,right-center,mixed,australia,"276,373"
dailyo,https://mediabiasfactcheck.com/dailyo-bias-rating/,right-center,mixed,india,"876,045"
abel danger,https://mediabiasfactcheck.com/abel-danger/,conspiracy-pseudoscience,mixed,united states,"7,283"
accuracy in academia (aia),https://mediabiasfactcheck.com/accuracy-in-academia-aia/,right,mixed,united states,"183,973"
accuracy in media,https://mediabiasfactcheck.com/accuracy-in-media-aim/,right,mixed,united states,"521,556"
acn latitudes,https://mediabiasfactcheck.com/acn-latitudes/,conspiracy-pseudoscience,mixed,united states,"78,674"
acting man,https://mediabiasfactcheck.com/acting-man/,right,mixed,united states,"362,398"
addicting info,https://mediabiasfactcheck.com/addicting-info/,left,mixed,united states,"297,434"
adw news,https://mediabiasfactcheck.com/adw-news/,conspiracy-pseudoscience,mixed,united states,857
ahram online,https://mediabiasfactcheck.com/ahram-online/,right-center,mixed,egypt,"1,191,126"
ahval news,https://mediabiasfactcheck.com/ahval-news/,left-center,mixed,cyprus,0
al-masdar news,https://mediabiasfactcheck.com/al-masdar-news-amn/,left-center,mixed,lebanon,"133,154"
al-sura,https://mediabiasfactcheck.com/al-sura/,left-center,mixed,united states,39
all that's fab,https://mediabiasfactcheck.com/all-thats-fab/,left,mixed,united states,"41,773"
alliance for advanced health,https://mediabiasfactcheck.com/alliance-advanced-health/,conspiracy-pseudoscience,mixed,united states,"2,208"
alliance for natural health (anh-usa),https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,conspiracy-pseudoscience,mixed,united states,"181,466"
alt-market,https://mediabiasfactcheck.com/alt-market/,conspiracy-pseudoscience,mixed,united states,"356,856"
alternative news network,https://mediabiasfactcheck.com/alternative-news-network/,conspiracy-pseudoscience,mixed,united states,591
altnewsmedia.net,https://mediabiasfactcheck.com/altnewsmedia-net/,right,mixed,italy,191
amac (association of mature american citizens),https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens/,right,mixed,united states,"87,644"
american bridge 21st century,https://mediabiasfactcheck.com/american-bridge-21st-century/,left,mixed,united states,"2,201"
american center for law & justice (aclj),https://mediabiasfactcheck.com/american-center-law-justice-aclj/,right,mixed,united states,"253,208"
aclu,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,left-center,mixed,united states,"1,896,676"
american consequences,https://mediabiasfactcheck.com/american-consequences/,right,mixed,united states,"25,033"
american digital news,https://mediabiasfactcheck.com/american-digital-news/,conspiracy-pseudoscience,mixed,united states,"1,882"
american enterprise institute,https://mediabiasfactcheck.com/american-enterprise-institute/,right,mixed,united states,"8,728,836"
american herald tribune,https://mediabiasfactcheck.com/american-herald-tribune/,conspiracy-pseudoscience,mixed,unknown or invalid region,"26,636"
american intelligence media,https://mediabiasfactcheck.com/american-intelligence-media/,conspiracy-pseudoscience,mixed,united states,"106,089"
american intelligence report,https://mediabiasfactcheck.com/american-intelligence-report/,conspiracy-pseudoscience,mixed,united states,"10,148"
american legislative exchange council (alec),https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/,right,mixed,united states,"91,720"
american liberty report,https://mediabiasfactcheck.com/american-liberty-report/,right,mixed,united states,"2,941"
american news 24/7,https://mediabiasfactcheck.com/american-news-24-7/,right,mixed,united states,9
anx news (american news x),https://mediabiasfactcheck.com/american-news-x/,left,mixed,united states,539
american for prosperity,https://mediabiasfactcheck.com/americans-for-prosperity/,right,mixed,united states,"322,470"
anadolu agency,https://mediabiasfactcheck.com/anadolu-agency/,right,mixed,turkey,"2,169,151"
ancient code,https://mediabiasfactcheck.com/ancient-code/,conspiracy-pseudoscience,mixed,unknown or invalid region,"53,164"
ancient origins,https://mediabiasfactcheck.com/ancient-origins/,conspiracy-pseudoscience,mixed,ireland,"434,632"
anti-war,https://mediabiasfactcheck.com/anti-war/,right-center,mixed,united states,"657,561"
