news_source,bias,reporting,country,references
USPostman,Questionable Sources,Low,,279
USA Conservative Report,Questionable Sources,Low,,7
USA Daily Post,Questionable Sources,Low,,9
USA Daily Review,Questionable Sources,Very Low,Unknown or Invalid Region,2
USA Dose News,Questionable Sources,Low,,22
USA In Front,Questionable Sources,Low,,58
USA is Online,Questionable Sources,,Unknown or Invalid Region,
USA News for You,Questionable Sources,Low,,7
USA Newsflash,Questionable Sources,Low,,104
USA News/Politics News USA,Questionable Sources,Very Low,,6
USA News/States-TV,Questionable Sources,Low,Unknown or Invalid Region,23
Usa Politics Now,Questionable Sources,Low,Unknown or Invalid Region,699
USA Public Life,Questionable Sources,Low,,4
USA Really,Questionable Sources,Very Low,Russia,"4,593"
USA Supreme,Questionable Sources,Low,,"17,277"
USA Viral News Today,Questionable Sources,Low,Unknown or Invalid Region,117
USA World Box,Questionable Sources,Low,,2
USAFirstInfo,Questionable Sources,Low,,7
USAnetwork.info,Questionable Sources,Very Low,Unknown or Invalid Region,666
USA News Today,Questionable Sources,Low,,15
UsLibertyWire.club,Questionable Sources,Very Low,Pakistan,0
Vanguard America,Questionable Sources,Low,United States,655
Vatican Radio,Questionable Sources,Mixed,Italy,"78,650"
Vdare,Questionable Sources,Low,United States,"290,167"
Vidmax,Questionable Sources,Low,,"40,341"
Viral Liberty,Questionable Sources,Very Low,,"18,009"
Voice of Europe,Questionable Sources,Low,,"135,535"
Walk with Her,Questionable Sources,Low,United States,7
WallBuilders,Questionable Sources,Low,United States,"248,200"
Washington Pundit,Questionable Sources,Low,United States,"3,322"
100% Fed up,Questionable Sources,Low,United States,"97,906"
10News.one,Questionable Sources,Low,United States,"2,011"
24 News,Questionable Sources,Low,United States,527
2nd Amendment Daily News,Questionable Sources,Low,United States,0
3CCorp.net,Questionable Sources,Low,United States,0
911Truth.org,Conspiracy-Pseudoscience,Low,United States,"255,060"
A Sheep No More,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"21,733"
A Voice for Men,Questionable Sources,Low,United States,"52,202"
Above Top Secret,Conspiracy-Pseudoscience,Low,United States,"170,438"
Activist Mommy,Questionable Sources,Low,United States,"4,845"
Activist Post,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"878,290"
Age of Autism,Conspiracy-Pseudoscience,Low,United States,"238,142"
Age of Shitlords,Questionable Sources,Low,United States,"19,714"
All News Pipeline,Questionable Sources,Low,United States,"27,276"
Allen West Republic,Questionable Sources,Low,United States,"31,748"
Alliance Defending Freedom,Questionable Sources,Low,United States,"645,093"
Alpha News,Questionable Sources,Low,United States,"15,259"
Alternative Media Television (AMTV),Conspiracy-Pseudoscience,Low,United States,"11,564"
AlternativeNews.com,Conspiracy-Pseudoscience,Low,United States,"7,650"
AltHealth Works,Conspiracy-Pseudoscience,Low,United States,"65,126"
Amazingnews.net,Questionable Sources,Low,Unknown or Invalid Region,1
American Family Association,Questionable Sources,Low,United States,"198,346"
American Free Press,Conspiracy-Pseudoscience,Low,United States,"224,222"
American Journal Review,Questionable Sources,Low,United States,154
American Lookout,Questionable Sources,Low,United States,"21,235"
American Prides,Questionable Sources,Low,India,7
American Principles Project,Questionable Sources,Low,United States,"30,226"
American Renaissance Magazine,Questionable Sources,Low,United States,"292,819"
"American Society for the Defense of Tradition, Family, and Property",Questionable Sources,Low,United States,"76,104"
American Thinker,Questionable Sources,Low,United States,"2,786,512"
American Today,Questionable Sources,Low,United States,"8,111"
American Truth Seekers,Questionable Sources,Low,Unknown or Invalid Region,7
American Truth Today,Questionable Sources,Low,United States,0
American Updater,Questionable Sources,Low,Macedonia,33
Americans Against the Tea Party (AATTP),Questionable Sources,Low,United States,"100,728"
Americans Are Pissed,Questionable Sources,Low,Unknown or Invalid Region,0
Anonymous,Conspiracy-Pseudoscience,Low,United States,"16,864"
Answers in Genesis,Conspiracy-Pseudoscience,Low,United States,"639,945"
Assassination Science,Conspiracy-Pseudoscience,Low,United States,586
Australian National Review,Conspiracy-Pseudoscience,Low,Australia,169
Awareness Act,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"65,784"
Backroom Buzz,Questionable Sources,Low,United States,"1,978"
Bare Naked Islam,Questionable Sources,Low,United States,"131,596"
BB4SP,Questionable Sources,Low,United States,"64,163"
BeAware,Questionable Sources,Low,Macedonia,281
Before It's News,Questionable Sources,Low,United States,"1,359,556"
Best Daily News,Questionable Sources,Low,Macedonia,0
Big Blue Vision,Questionable Sources,Low,Unknown or Invalid Region,11
Big League Politics,Questionable Sources,Low,United States,"219,813"
Black Eye Politics,Questionable Sources,Low,,"3,852"
Black Genocide,Questionable Sources,Low,United States,"24,656"
Black Pigeon Speaks,Questionable Sources,Low,United States,"18,310"
Blingnews.com,Questionable Sources,Low,United States,"6,251"
Blue Informer,Questionable Sources,Low,United States,1
Blue Vision Post,Questionable Sources,Low,United States,1
BlueVision.News,Questionable Sources,Low,United States,33
Blunt Force Truth,Questionable Sources,Low,United States,"49,953"
Borderland Alternative Media (BAM),Questionable Sources,Low,United States,157
Breaking News House,Questionable Sources,Low,Unknown or Invalid Region,0
Canada Free Press,Questionable Sources,Low,Canada,"267,929"
Censored.news,Questionable Sources,Low,United States,0
Center for Research of Radicalism and National Security,Questionable Sources,Low,,970
Checkpoint Asia,Questionable Sources,Low,Unknown or Invalid Region,"11,128"
Christian Action Network,Questionable Sources,Low,United States,"52,893"
Christian Apologetics & Research Ministry (CARM),Conspiracy-Pseudoscience,Low,United States,"234,864"
Christian Ministries International,Conspiracy-Pseudoscience,Low,United States,"288,955"
Christian Science,Conspiracy-Pseudoscience,Low,United States,"202,936"
Christian Times Newspaper,Conspiracy-Pseudoscience,Low,United States,483
Christiantoday.info,Conspiracy-Pseudoscience,Low,United States,7
Clarion Project,Questionable Sources,Low,United States,"164,426"
Clash Daily,Questionable Sources,Low,United States,"269,384"
Climate Change Dispatch,Conspiracy-Pseudoscience,Low,United States,"2,444"
Climatism,Conspiracy-Pseudoscience,Low,Australia,"14,718"
Clover Chronicle,Questionable Sources,Low,Unknown or Invalid Region,"3,303"
CNS News,Questionable Sources,Low,United States,"1,029,917"
Coast to Coast AM,Conspiracy-Pseudoscience,Low,United States,"553,968"
Collective Evolution,Conspiracy-Pseudoscience,Low,United States,"235,687"
Collectively Conscious,Conspiracy-Pseudoscience,Low,United States,"22,641"
The Committee for a Constructive Tomorrow (CFACT),Conspiracy-Pseudoscience,Low,United States,"83,440"
Competitive Enterprise Institute,Questionable Sources,Low,United States,"365,049"
Concerned Women for America,Questionable Sources,Low,United States,"160,558"
Conservative 101,Questionable Sources,Low,Unknown or Invalid Region,738
Conservative Ammo,Questionable Sources,Low,United States,0
Conservative Army,Questionable Sources,Low,Unknown or Invalid Region,"1,840"
Conservative Byte,Questionable Sources,Low,United States,"93,745"
Conservative Daily Post,Questionable Sources,Low,Unknown or Invalid Region,"59,158"
Conservative Fighters,Questionable Sources,Low,United States,"28,165"
Conservative Flash News,Questionable Sources,Low,Unknown or Invalid Region,52
Conservative Free Press,Questionable Sources,Low,United States,"2,513"
Conservative Info Corner,Questionable Sources,Low,Unknown or Invalid Region,33
Conservative Media,Questionable Sources,Low,United States,"22,702"
Conservative Movement,Questionable Sources,Low,Unknown or Invalid Region,7
Conservative Nation,Questionable Sources,Low,United States,"7,298"
Conservative Patriot,Questionable Sources,Low,Unknown or Invalid Region,337
Conservative Politics Today,Questionable Sources,Low,United States,4
Conservative Politicus,Questionable Sources,Low,Unknown or Invalid Region,5
Conservative Post,Questionable Sources,Low,United States,"18,226"
Conservative Spirit,Questionable Sources,Low,Unknown or Invalid Region,42
Conspiracy Daily Update,Conspiracy-Pseudoscience,Low,United States,"2,280"
Conspiracy Planet,Conspiracy-Pseudoscience,Low,United States,"26,696"
Cosmic Intelligence Agency,Conspiracy-Pseudoscience,Low,United States,"76,841"
Countdown to Zerotime,Conspiracy-Pseudoscience,Low,United States,512
CS Globe,Conspiracy-Pseudoscience,Low,United States,"5,748"
Curious Mind Magazine,Conspiracy-Pseudoscience,Low,United States,"5,300"
Daily Headlines,Questionable Sources,Low,Unknown or Invalid Region,"38,428"
Daily Insider News,Questionable Sources,Low,United States,107
Daily Mail,Questionable Sources,Low,United Kingdom,"6,293,579"
Daily Notify,Questionable Sources,Low,Canada,65
Daily Occupation,Conspiracy-Pseudoscience,Low,,"8,464"
Daily Presser,Questionable Sources,Low,United States,"1,676"
Daily USA Update,Questionable Sources,Low,United States,13
DailyHealthPost,Conspiracy-Pseudoscience,Low,Canada,"10,877"
Dark Journalist,Conspiracy-Pseudoscience,Low,United States,"3,708"
Data Asylum,Conspiracy-Pseudoscience,Low,Canada,719
DC Gazette,Questionable Sources,Low,United States,35
Defend Europa,Questionable Sources,Low,Netherlands,"2,073"
Defiant America,Questionable Sources,Low,United States,"50,833"
Defund.com,Questionable Sources,Low,Unknown or Invalid Region,"4,368"
Democratic Moms,Questionable Sources,Low,Unknown or Invalid Region,"3,883"
Deplorable Kel,Questionable Sources,Low,United States,149
Deplorable Movement 2020,Questionable Sources,Low,United States,6
Disclose TV,Conspiracy-Pseudoscience,Low,Germany,"219,482"
Discover the Networks,Questionable Sources,Low,United States,"418,779"
Discovery Institute,Conspiracy-Pseudoscience,Low,United States,"171,078"
Downtrend,Questionable Sources,Low,United States,"34,791"
Draining the Swamp,Questionable Sources,Low,United States,2
Drudge Report,Questionable Sources,Low,United States,"5,523,022"
Eagle Rising,Questionable Sources,Low,United States,"43,752"
Earth We are One (EWAO),Conspiracy-Pseudoscience,Low,United States,"31,950"
Earthpulse Press,Conspiracy-Pseudoscience,Low,United States,"46,030"
Embols,Questionable Sources,Low,United States,45
Empire Herald,Questionable Sources,Low,United States,"8,389"
End the Fed,Questionable Sources,Low,United States,855
End Time Headlines,Conspiracy-Pseudoscience,Low,United States,"146,564"
Ending the Fed,Questionable Sources,Low,United States,"3,328"
ENH Live,Questionable Sources,Low,Unknown or Invalid Region,"2,898"
Escape all these Things,Conspiracy-Pseudoscience,Low,United States,"10,629"
Every News Here,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,11
Evidence for God from Science,Conspiracy-Pseudoscience,Low,United States,"45,030"
Evil.News,Questionable Sources,Low,United States,0
Evolution News and Views,Conspiracy-Pseudoscience,Low,United States,"77,632"
Exposing Government,Questionable Sources,Low,,173
Family Research Council,Questionable Sources,Low,United States,"268,084"
Family Survival Headlines,Conspiracy-Pseudoscience,Low,United States,"56,596"
Federalist Nation,Questionable Sources,Low,Unknown or Invalid Region,"2,568"
Fellowship of the Minds,Conspiracy-Pseudoscience,Low,United States,"107,649"
Flex Mag,Questionable Sources,Low,,551
Focus on the Family,Questionable Sources,Low,United States,"429,975"
For the Right News,Questionable Sources,Low,United States,0
Forever Conscious,Conspiracy-Pseudoscience,Low,,"27,684"
Freakout Nation,Questionable Sources,Low,Unknown or Invalid Region,"33,297"
Free Patriot Post,Questionable Sources,Low,Unknown or Invalid Region,262
PoliticsOnline.net,Questionable Sources,Low,Unknown or Invalid Region,37
Free Thought Project,Conspiracy-Pseudoscience,Low,United States,"1,503,377"
Freedom Advocates,Conspiracy-Pseudoscience,Low,United States,"317,189"
Freedom Daily,Questionable Sources,Low,Unknown or Invalid Region,"2,368"
Freedom's Final Stand,Questionable Sources,Low,Unknown or Invalid Region,133
Fresh News USA,Questionable Sources,Low,United States,39
From the Trenches World Report,Conspiracy-Pseudoscience,Low,United States,"77,785"
FrontPage Magazine,Questionable Sources,Low,United States,"1,802,704"
Geller Report,Questionable Sources,Low,United States,"355,909"
GeoEngineering Watch,Conspiracy-Pseudoscience,Low,United States,"194,856"
Get Holistic Health,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,0
GetCancerRemedies.com,Conspiracy-Pseudoscience,Low,Pakistan,5
Girls Just Wanna Have guns,Questionable Sources,Low,United States,"119,306"
Global Info Today,Questionable Sources,Low,,171
Global Politics Now,Questionable Sources,Low,Unknown or Invalid Region,171
Global Research,Conspiracy-Pseudoscience,Low,Canada,"3,301,091"
Gnews,Questionable Sources,Low,United States,0
Godlike Productions,Conspiracy-Pseudoscience,Low,United States,"1,888,686"
Gone Left,Questionable Sources,Low,Unknown or Invalid Region,6
GOP Watchdog,Questionable Sources,Low,United States,217
Got Questions,Conspiracy-Pseudoscience,Low,United States,"315,253"
GotNews,Questionable Sources,Low,United States,"90,366"
Government Slaves,Conspiracy-Pseudoscience,Low,United States,"1,676"
Great American Daily,Questionable Sources,Low,United States,0
Great American Republic,Questionable Sources,Low,United States,"63,777"
GreenMedInfo,Conspiracy-Pseudoscience,Low,United States,0
Greenville Gazette,Left,Low,United States,"9,908"
Gulag Bound,Conspiracy-Pseudoscience,Low,United States,"143,116"
HAARP.net,Conspiracy-Pseudoscience,Low,United States,"24,986"
Hang The Bankers,Questionable Sources,Low,United States,"174,565"
Hawar News Agancy,Questionable Sources,Low,Syria,"4,643"
Health Consciousness,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"1,438"
Health Impact News,Conspiracy-Pseudoscience,Low,United States,"63,672"
Health Sciences Institute,Conspiracy-Pseudoscience,Low,United States,"37,764"
Healthy Food House,Conspiracy-Pseudoscience,Low,Macedonia,0
Healthy Holistic Living,Conspiracy-Pseudoscience,Low,United States,"15,899"
Healthy Vibes,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"5,415"
Heartland Institute,Questionable Sources,Low,United States,"183,731"
Henry Makow (savethemales.ca),Conspiracy-Pseudoscience,Low,Canada,"75,276"
HL12,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,1
Hogg Watch,Questionable Sources,Low,United States,95
Humans are Free,Conspiracy-Pseudoscience,Low,United States,"67,983"
I Hate the Media,Questionable Sources,Low,United States,"202,929"
Ice Age Now,Conspiracy-Pseudoscience,Low,United States,"65,196"
iHealthtube.com,Conspiracy-Pseudoscience,Low,United States,"51,856"
Illicit Info,Questionable Sources,Low,United States,"41,948"
Illuminati News,Conspiracy-Pseudoscience,Low,United States,"17,476"
Illuminati Watcher,Conspiracy-Pseudoscience,Low,United States,"27,378"
Infinite Unknown,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"68,203"
InfoGalactic,Questionable Sources,Low,United States,"22,585"
Information Liberation,Questionable Sources,Low,United States,"671,366"
Intellihub,Conspiracy-Pseudoscience,Low,United States,"171,948"
International Organization for the Family (IOF),Questionable Sources,Low,United States,"24,105"
Iowa Climate Science Education,Conspiracy-Pseudoscience,Low,United States,72
Jesus Daily,Conspiracy-Pseudoscience,Low,United States,"7,755"
Jesus is Savior,Conspiracy-Pseudoscience,Low,United States,"63,948"
Jew Watch,Questionable Sources,Low,United States,"36,011"
Jews News,Conspiracy-Pseudoscience,Low,Israel,299
Joe for America,Questionable Sources,Low,United States,"154,832"
Jookos News,Questionable Sources,Low,Unknown or Invalid Region,"1,214"
Judicial Watch,Questionable Sources,Low,United States,"466,469"
JunkScience.com,Conspiracy-Pseudoscience,Low,United States,"213,858"
Knights Templar International,Questionable Sources,Low,United States,"7,399"
Knowledge of Today,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"18,561"
Lady Liberty News,Questionable Sources,Low,,929
LaRouche PAC,Conspiracy-Pseudoscience,Low,United States,"130,504"
Left Action,Questionable Sources,Low,United States,"6,133"
Left Exposed,Questionable Sources,Low,United States,"64,292"
Liberty Brief,Questionable Sources,Low,United States,19
Liberty Courier,Questionable Sources,Low,United States,4
Liberty is Viral,Questionable Sources,Low,United States,"18,134"
Liberty Videos,Conspiracy-Pseudoscience,Low,United States,48
LifeSpa,Conspiracy-Pseudoscience,Low,United States,"5,133"
London Web News,Questionable Sources,Low,United Kingdom,430
LoonWatch,Questionable Sources,Low,United States,"159,626"
Mad American Network,Questionable Sources,Low,,34
Mad World News,Questionable Sources,Low,United States,"48,121"
MBGA - Make Britain Great Again,Questionable Sources,Low,United Kingdom,39
Media Zone,Questionable Sources,Low,,1
Medicine News,Conspiracy-Pseudoscience,Low,United States,"46,138"
Mercola,Conspiracy-Pseudoscience,Low,United States,"327,430"
Metapedia,Questionable Sources,Low,United States,"1,000"
Middle East Forum,Questionable Sources,Low,United States,"234,182"
Mixi.Media,Questionable Sources,Low,,"1,513,790"
Molon Labe Media,Questionable Sources,Low,United States,"1,963"
MoonBattery,Questionable Sources,Low,United States,"1,029,684"
Morning Ledger,Conspiracy-Pseudoscience,Low,Australia,"5,317"
Moving Left,Questionable Sources,Low,United States,34
Mr. Conservative (MRC),Questionable Sources,Low,United States,"32,143"
My Right American,Questionable Sources,Low,,213
National Economics Editorial,Questionable Sources,Low,United States,109
National Enquirer,Questionable Sources,Low,United States,"596,961"
National File,Conspiracy-Pseudoscience,Low,United States,0
National Vaccine Information Institute,Conspiracy-Pseudoscience,Low,United States,"1,632,892"
Natural Cures Not Medicine,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,5
Need to Know,Conspiracy-Pseudoscience,Low,United States,"209,042"
Neon Nettle,Conspiracy-Pseudoscience,Low,United States,"488,943"
NeverRepublican.com,Questionable Sources,Low,,329
Nevo News,Questionable Sources,Low,Unknown or Invalid Region,51
New Century Times,Questionable Sources,Low,Unknown or Invalid Region,"5,293"
New Politics Today,Questionable Sources,Low,United States,"2,572"
News Feed Hunter,Questionable Sources,Low,Unknown or Invalid Region,65
News and Stories from USA,Questionable Sources,Low,Unknown or Invalid Region,288
News Target,Conspiracy-Pseudoscience,Low,United States,"178,937"
News Up Today,Questionable Sources,Low,China,32
News with Views,Questionable Sources,Low,,"266,582"
NewsBreaksHere,Questionable Sources,Low,,196
NewsWars,Questionable Sources,Low,United States,"76,601"
NMWS.us,Questionable Sources,Low,,13
NoDisInfo,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"4,436"
Nos Comunicamos,Questionable Sources,Low,,87
NoTricksZone,Conspiracy-Pseudoscience,Low,Germany,"218,877"
Now The End Begins,Conspiracy-Pseudoscience,Low,,"115,818"
Oath Keepers,Questionable Sources,Low,United States,"124,341"
Occupy Democrats,Questionable Sources,Low,United States,"40,318"
Online Conservative Press,Questionable Sources,Low,,15
Our Health Guides,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,101
Overpasses for America,Questionable Sources,Low,United States,"2,463"
Oye.news,Conspiracy-Pseudoscience,Low,United Kingdom,49
Pacific Pundit,Questionable Sources,Low,United States,"87,084"
Pak Alert Press,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"133,190"
Pants on Fire News,Questionable Sources,Low,United States,0
Patribotics Blog,Questionable Sources,Low,,"9,544"
Patriot Beacon,Questionable Sources,Low,,6
Patriot Fires,Questionable Sources,Low,,"1,691"
Patriot Update,Questionable Sources,Low,,"224,331"
Patriotic Express,Questionable Sources,Low,,"3,233"
Patriotic Viral News,Questionable Sources,Low,,"3,381"
Patriots Voice,Questionable Sources,Low,Unknown or Invalid Region,33
PC Must Die News,Questionable Sources,Low,United States,0
Personal Liberty,Questionable Sources,Low,United States,"142,960"
Plymouth Patriot Post,Questionable Sources,Low,United States,"2,130"
PM Nightly News,Questionable Sources,Low,United States,36
Police Times,Questionable Sources,Low,,24
Political Blindspot,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"9,464"
Political Ears,Questionable Sources,Low,,53
Political Flare,Questionable Sources,Low,United States,83
Political Inbox,Questionable Sources,Low,,9
Political Mayhem News,Questionable Sources,Low,,"3,720"
Political Site News,Questionable Sources,Low,Unknown or Invalid Region,"40,978"
Politico Info,Questionable Sources,Low,Unknown or Invalid Region,71
Poltifact News,Questionable Sources,Low,,120
Population Research Institute,Questionable Sources,Low,United States,0
Powdered Wig Society,Questionable Sources,Low,United States,"29,597"
PragerU,Questionable Sources,Low,United States,"115,631"
Prepare for Change,Conspiracy-Pseudoscience,Low,,"97,606"
President 45 Donald Trump,Questionable Sources,Low,,"6,903"
Press TV,Questionable Sources,Low,Iran,"6,199,012"
Prideof-america.org (American News),Questionable Sources,Low,,77
Principia Scientific International,Conspiracy-Pseudoscience,Low,United Kingdom,"5,106"
Prison Planet,Conspiracy-Pseudoscience,Low,,"2,071,789"
Prntly,Questionable Sources,Low,Unknown or Invalid Region,"1,437"
Pro Trump News,Questionable Sources,Low,Unknown or Invalid Region,0
Progressives Today,Questionable Sources,Low,United States,"46,006"
Project Purge,Questionable Sources,Low,,100
Prophecy News Watch,Conspiracy-Pseudoscience,Low,United States,"24,281"
Prophecy Today,Conspiracy-Pseudoscience,Low,,"47,910"
Proud Leader,Questionable Sources,Low,,995
Puppet String News,Questionable Sources,Low,,"16,565"
Rapture News Network,Conspiracy-Pseudoscience,Low,United States,"8,066"
Read Conservatives,Questionable Sources,Low,,132
Reagan Coalition,Questionable Sources,Low,,"11,456"
Real Climate Science,Conspiracy-Pseudoscience,Low,United States,0
Real Jew News,Conspiracy-Pseudoscience,Low,,"99,305"
Real News 24,Conspiracy-Pseudoscience,Low,,"11,577"
Real Time Politics,Questionable Sources,Low,,540
RealFarmacy,Conspiracy-Pseudoscience,Low,,"15,645"
Red Country - Conservative News,Questionable Sources,Low,,33
Red Ice TV,Questionable Sources,Low,Sweden,"551,400"
Red Politics,Questionable Sources,Low,,4
Red Rock Tribune,Questionable Sources,Low,United States,16
Red State Pundit,Questionable Sources,Low,Unknown or Invalid Region,"1,071"
Red State Watcher,Questionable Sources,Low,,"116,172"
"Red, White and Right",Questionable Sources,Low,,"3,331"
RedStateWave,Questionable Sources,Low,,41
Reed Cooper News,Questionable Sources,Low,United States,"3,271"
Reflection of Mind,Conspiracy-Pseudoscience,Low,,"1,611"
Renew America,Questionable Sources,Low,United States,"954,240"
Rense,Conspiracy-Pseudoscience,Low,,"450,329"
Return of Kings,Questionable Sources,Low,,"287,316"
Return to Now,Conspiracy-Pseudoscience,Low,United States,"2,352"
Revolution Radio,Conspiracy-Pseudoscience,Low,United States,"69,334"
Right Alerts,Questionable Sources,Low,,"5,506"
Right Wing News (rightwing.news),Questionable Sources,Low,,"18,558"
Right Side News,Questionable Sources,Low,,"2,109,646"
RINF,Questionable Sources,Low,,"159,126"
Russia Insider,Questionable Sources,Low,Russia,"50,634"
SaneVax,Conspiracy-Pseudoscience,Low,,"22,892"
Santa Monica Observer,Questionable Sources,Low,United States,"47,171"
Debunking Skeptics,Conspiracy-Pseudoscience,Low,United States,"91,254"
SGT Report,Conspiracy-Pseudoscience,Low,,"363,255"
Shared News Report,Questionable Sources,Low,Unknown or Invalid Region,7
Sheep Killers,Conspiracy-Pseudoscience,Low,,64
Shoebat,Conspiracy-Pseudoscience,Low,,"319,856"
Skeptiko,Conspiracy-Pseudoscience,Low,,"21,084"
Sons of 1776,Questionable Sources,Low,United States,0
Right Wing News,Questionable Sources,Low,United States,1
Speisa,Questionable Sources,Low,,"42,975"
Squawker,Questionable Sources,Low,United States,"11,723"
Stares at the World,Questionable Sources,Low,United States,"63,688"
State of the Nation 2012,Questionable Sources,Low,United States,"53,781"
Steadfast and Loyal,Questionable Sources,Low,United States,"16,610"
Stillness in the Storm,Conspiracy-Pseudoscience,Low,,"48,326"
Stone Cold Truth,Questionable Sources,Low,,"29,850"
Storm Clouds Gathering,Conspiracy-Pseudoscience,Low,United States,"20,278"
Stormfront,Conspiracy-Pseudoscience,Low,United States,"48,054"
Subject Politics,Questionable Sources,Low,,93
Sure News,Questionable Sources,Low,,"19,566"
SurvivalBlog.com,Questionable Sources,Low,United States,"550,675"
Sustainable Pulse,Conspiracy-Pseudoscience,Low,,"9,267"
Svijmedia.com,Questionable Sources,Low,,4
SwampDrain.com,Questionable Sources,Low,,998
Swarajya,Questionable Sources,Low,India,"113,883"
Taki's Magazine,Questionable Sources,Low,United States,"704,477"
TashNews,Questionable Sources,Low,Unknown or Invalid Region,109
TdtAlliance.com,Questionable Sources,Low,,194
Tea Party Inc.,Questionable Sources,Low,,"142,377"
Teddy Stick,Questionable Sources,Low,,33
Tell Me Now,Questionable Sources,Low,,163
The American Mirror,Questionable Sources,Low,,"15,935"
The Aware,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,2
The Bearded Patriot,Questionable Sources,Low,United States,0
The Common Sense Show,Conspiracy-Pseudoscience,Low,,"72,667"
The Controversial Files,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"4,218"
The Corbett Report,Conspiracy-Pseudoscience,Low,Japan,"798,601"
The DC Clothesline,Questionable Sources,Low,United States,"265,571"
The Daily Bell,Questionable Sources,Low,,"262,561"
The Daily Conspiracy,Conspiracy-Pseudoscience,Low,,"1,172"
The Daily Sheeple,Conspiracy-Pseudoscience,Low,,"433,879"
The Deplorable Society,Questionable Sources,Low,,77
The Duran,Questionable Sources,Low,Cyprus,"293,064"
The Event Chronicle,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"50,708"
The Federalist Papers Project,Questionable Sources,Low,United States,"246,677"
The Federation for American Immigration Reform,Questionable Sources,Low,United States,"119,953"
The Forbidden Knowledge,Conspiracy-Pseudoscience,Low,United States,"39,596"
The Free Patriot,Questionable Sources,Low,,51
The Gateway Pundit,Questionable Sources,Low,United States,"1,400,349"
The Goldwater,Questionable Sources,Low,United States,"16,721"
The Horn,Questionable Sources,Low,United States,"28,518"
The LA Post,Questionable Sources,Low,United States,319
The Last Great Stand,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"85,073"
The Last Resistance,Questionable Sources,Low,United States,"8,811"
The Laugh Club,Questionable Sources,Low,Sweden,0
The Liberty Beacon,Conspiracy-Pseudoscience,Low,,"132,982"
The Millennium Report,Questionable Sources,Low,United States,"36,142"
The Mind Unleashed,Conspiracy-Pseudoscience,Low,,"62,541"
The National Patriot,Questionable Sources,Low,,"36,543"
The National Pulse,Questionable Sources,Low,,80
The News Guru,Questionable Sources,Low,,176
The Other 98%,Questionable Sources,Low,United States,"37,847"
The Peoples Truth,Questionable Sources,Low,,644
The Political Tribune,Questionable Sources,Low,Unknown or Invalid Region,17
The Politics Online,Questionable Sources,Low,Unknown or Invalid Region,0
The Premium News,Questionable Sources,Low,,20
The Proud Conservative,Questionable Sources,Low,,31
The Religion of Peace,Questionable Sources,Low,,"2,217,238"
The Remnant Newspaper,Questionable Sources,Low,,"20,372"
The Rightists,Questionable Sources,Low,,282
The Rundown Live,Conspiracy-Pseudoscience,Low,,"14,898"
The Times of America,Questionable Sources,Low,,46
The Trump Media,Questionable Sources,Low,Unknown or Invalid Region,4
The Truth about Cancer,Conspiracy-Pseudoscience,Low,United States,"16,647"
The Truth Division,Questionable Sources,Low,,"3,966"
The Truth Seeker,Conspiracy-Pseudoscience,Low,,"327,335"
The Union Journal,Questionable Sources,Low,Unknown or Invalid Region,0
The Unz Review,Questionable Sources,Low,United States,"548,189"
The US Patriot,Questionable Sources,Low,,"1,061"
The USA Conservative,Questionable Sources,Low,,4
The Waking Times,Conspiracy-Pseudoscience,Low,,"285,040"
Think Americana,Questionable Sources,Low,,"19,482"
Thinking Mom's Revolution,Conspiracy-Pseudoscience,Low,United States,"15,073"
Thought Crime Radio,Conspiracy-Pseudoscience,Low,,"31,064"
Thrive Movement,Conspiracy-Pseudoscience,Low,United States,"88,954"
Today Breaking News,Questionable Sources,Low,Panama,2
Top Right News,Questionable Sources,Low,,"4,525"
Top Topic,Questionable Sources,Low,,0
Topinfo Post,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"7,343"
Trigger Reset,Questionable Sources,Low,,"50,609"
Center for Immigration Studies,Questionable Sources,Low,United States,"87,933"
True Blue Scoop,Questionable Sources,Low,United States,1
True Pundit,Conspiracy-Pseudoscience,Low,United States,"112,552"
True Viral News,Questionable Sources,Low,Russia,"459,252"
Trump.News,Questionable Sources,Low,United States,"10,786"
Trumpservative News,Questionable Sources,Low,,175
TruNews,Conspiracy-Pseudoscience,Low,,"133,588"
