name,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
Climatism,https://mediabiasfactcheck.com/climatism/,Conspiracy-Pseudoscience,Low,Australia,"14,718"
Clover Chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,Questionable Sources,Low,Unknown or Invalid Region,"3,303"
CNS News,https://mediabiasfactcheck.com/cns-news/,Questionable Sources,Low,United States,"1,029,917"
Coast to Coast AM,https://mediabiasfactcheck.com/coast-to-coast-am/,Conspiracy-Pseudoscience,Low,United States,"553,968"
Collective Evolution,https://mediabiasfactcheck.com/collective-evolution/,Conspiracy-Pseudoscience,Low,United States,"235,687"
Collectively Conscious,https://mediabiasfactcheck.com/collectively-conscious/,Conspiracy-Pseudoscience,Low,United States,"22,641"
The Committee for a Constructive Tomorrow (CFACT),https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/,Conspiracy-Pseudoscience,Low,United States,"83,440"
Competitive Enterprise Institute,https://mediabiasfactcheck.com/competitive-enterprise-institute/,Questionable Sources,Low,United States,"365,049"
Concerned Women for America,https://mediabiasfactcheck.com/concerned-women-america/,Questionable Sources,Low,United States,"160,558"
Conservative 101,https://mediabiasfactcheck.com/conservative-101/,Questionable Sources,Low,Unknown or Invalid Region,738
Conservative Ammo,https://mediabiasfactcheck.com/conservative-ammo/,Questionable Sources,Low,United States,0
Conservative Army,https://mediabiasfactcheck.com/conservative-army/,Questionable Sources,Low,Unknown or Invalid Region,"1,840"
Conservative Byte,https://mediabiasfactcheck.com/conservative-byte/,Questionable Sources,Low,United States,"93,745"
Conservative Daily Post,https://mediabiasfactcheck.com/conservative-daily-post/,Questionable Sources,Low,Unknown or Invalid Region,"59,158"
Conservative Fighters,https://mediabiasfactcheck.com/conservative-fighters/,Questionable Sources,Low,United States,"28,165"
Conservative Flash News,https://mediabiasfactcheck.com/conservative-flash-news/,Questionable Sources,Low,Unknown or Invalid Region,52
Conservative Free Press,https://mediabiasfactcheck.com/conservative-free-press/,Questionable Sources,Low,United States,"2,513"
Conservative Info Corner,https://mediabiasfactcheck.com/conservative-info-corner/,Questionable Sources,Low,Unknown or Invalid Region,33
Conservative Media,https://mediabiasfactcheck.com/conservative-media/,Questionable Sources,Low,United States,"22,702"
Conservative Movement,https://mediabiasfactcheck.com/conservative-movement/,Questionable Sources,Low,Unknown or Invalid Region,7
Conservative Nation,https://mediabiasfactcheck.com/conservative-nation/,Questionable Sources,Low,United States,"7,298"
Conservative Patriot,https://mediabiasfactcheck.com/conservative-patriot/,Questionable Sources,Low,Unknown or Invalid Region,337
Conservative Politics Today,https://mediabiasfactcheck.com/conservative-politics-today/,Questionable Sources,Low,United States,4
Conservative Politicus,https://mediabiasfactcheck.com/conservative-politicus/,Questionable Sources,Low,Unknown or Invalid Region,5
Conservative Post,https://mediabiasfactcheck.com/conservative-post/,Questionable Sources,Low,United States,"18,226"
Conservative Spirit,https://mediabiasfactcheck.com/conservative-spirit/,Questionable Sources,Low,Unknown or Invalid Region,42
Conspiracy Daily Update,https://mediabiasfactcheck.com/conspiracy-daily-update/,Conspiracy-Pseudoscience,Low,United States,"2,280"
Conspiracy Planet,https://mediabiasfactcheck.com/conspiracy-planet/,Conspiracy-Pseudoscience,Low,United States,"26,696"
Cosmic Intelligence Agency,https://mediabiasfactcheck.com/cosmic-intelligence-agency/,Conspiracy-Pseudoscience,Low,United States,"76,841"
Countdown to Zerotime,https://mediabiasfactcheck.com/countdown-to-zerotime/,Conspiracy-Pseudoscience,Low,United States,512
CS Globe,https://mediabiasfactcheck.com/cs-globe/,Conspiracy-Pseudoscience,Low,United States,"5,748"
Curious Mind Magazine,https://mediabiasfactcheck.com/curious-mind-magazine/,Conspiracy-Pseudoscience,Low,United States,"5,300"
Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,Questionable Sources,Low,Unknown or Invalid Region,"38,428"
Daily Insider News,https://mediabiasfactcheck.com/daily-insider-news/,Questionable Sources,Low,United States,107
Daily Mail,https://mediabiasfactcheck.com/daily-mail/,Questionable Sources,Low,United Kingdom,"6,293,579"
Daily Notify,https://mediabiasfactcheck.com/daily-notify/,Questionable Sources,Low,Canada,65
Daily Occupation,https://mediabiasfactcheck.com/daily-occupation/,Conspiracy-Pseudoscience,Low,,"8,464"
Daily Presser,https://mediabiasfactcheck.com/daily-presser/,Questionable Sources,Low,United States,"1,676"
Daily USA Update,https://mediabiasfactcheck.com/daily-usa-update/,Questionable Sources,Low,United States,13
DailyHealthPost,https://mediabiasfactcheck.com/dailyhealthpost/,Conspiracy-Pseudoscience,Low,Canada,"10,877"
Dark Journalist,https://mediabiasfactcheck.com/dark-journalist/,Conspiracy-Pseudoscience,Low,United States,"3,708"
Data Asylum,https://mediabiasfactcheck.com/data-asylum/,Conspiracy-Pseudoscience,Low,Canada,719
DC Gazette,https://mediabiasfactcheck.com/dc-gazette/,Questionable Sources,Low,United States,35
Defend Europa,https://mediabiasfactcheck.com/defend-europa/,Questionable Sources,Low,Netherlands,"2,073"
Defiant America,https://mediabiasfactcheck.com/defiant-america/,Questionable Sources,Low,United States,"50,833"
Defund.com,https://mediabiasfactcheck.com/defund-com/,Questionable Sources,Low,Unknown or Invalid Region,"4,368"
Democratic Moms,https://mediabiasfactcheck.com/democratic-moms/,Questionable Sources,Low,Unknown or Invalid Region,"3,883"
Deplorable Kel,https://mediabiasfactcheck.com/deplorable-kel/,Questionable Sources,Low,United States,149
Deplorable Movement 2020,https://mediabiasfactcheck.com/deplorable-movement-2020/,Questionable Sources,Low,United States,6
Disclose TV,https://mediabiasfactcheck.com/disclose-tv/,Conspiracy-Pseudoscience,Low,Germany,"219,482"
Discover the Networks,https://mediabiasfactcheck.com/discover-the-networks/,Questionable Sources,Low,United States,"418,779"
Discovery Institute,https://mediabiasfactcheck.com/discovery-institute/,Conspiracy-Pseudoscience,Low,United States,"171,078"
Downtrend,https://mediabiasfactcheck.com/downtrend/,Questionable Sources,Low,United States,"34,791"
Draining the Swamp,https://mediabiasfactcheck.com/draining-the-swamp/,Questionable Sources,Low,United States,2
Drudge Report,https://mediabiasfactcheck.com/drudge-report/,Questionable Sources,Low,United States,"5,523,022"
Eagle Rising,https://mediabiasfactcheck.com/eagle-rising/,Questionable Sources,Low,United States,"43,752"
Earth We are One (EWAO),https://mediabiasfactcheck.com/earth-one-ewao/,Conspiracy-Pseudoscience,Low,United States,"31,950"
Earthpulse Press,https://mediabiasfactcheck.com/earthpulse-press/,Conspiracy-Pseudoscience,Low,United States,"46,030"
Embols,https://mediabiasfactcheck.com/embols/,Questionable Sources,Low,United States,45
Empire Herald,https://mediabiasfactcheck.com/empire-herald/,Questionable Sources,Low,United States,"8,389"
End the Fed,https://mediabiasfactcheck.com/end-the-fed/,Questionable Sources,Low,United States,855
End Time Headlines,https://mediabiasfactcheck.com/end-time-headlines/,Conspiracy-Pseudoscience,Low,United States,"146,564"
Ending the Fed,https://mediabiasfactcheck.com/ending-the-fed-news/,Questionable Sources,Low,United States,"3,328"
ENH Live,https://mediabiasfactcheck.com/enh-live/,Questionable Sources,Low,Unknown or Invalid Region,"2,898"
Escape all these Things,https://mediabiasfactcheck.com/escape-all-these-things/,Conspiracy-Pseudoscience,Low,United States,"10,629"
Every News Here,https://mediabiasfactcheck.com/every-news-here/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,11
Evidence for God from Science,https://mediabiasfactcheck.com/evidence-for-god-from-science/,Conspiracy-Pseudoscience,Low,United States,"45,030"
Evil.News,https://mediabiasfactcheck.com/evil-news/,Questionable Sources,Low,United States,0
Evolution News and Views,https://mediabiasfactcheck.com/evolution-news-and-views/,Conspiracy-Pseudoscience,Low,United States,"77,632"
Exposing Government,https://mediabiasfactcheck.com/exposing-government/,Questionable Sources,Low,,173
Family Research Council,https://mediabiasfactcheck.com/family-research-council/,Questionable Sources,Low,United States,"268,084"
Family Survival Headlines,https://mediabiasfactcheck.com/family-survival-headlines/,Conspiracy-Pseudoscience,Low,United States,"56,596"
Federalist Nation,https://mediabiasfactcheck.com/federalist-nation/,Questionable Sources,Low,Unknown or Invalid Region,"2,568"
Fellowship of the Minds,https://mediabiasfactcheck.com/fellowship-of-the-minds/,Conspiracy-Pseudoscience,Low,United States,"107,649"
Flex Mag,https://mediabiasfactcheck.com/flex-mag/,Questionable Sources,Low,,551
Focus on the Family,https://mediabiasfactcheck.com/focus-on-the-family/,Questionable Sources,Low,United States,"429,975"
For the Right News,https://mediabiasfactcheck.com/for-the-right-news/,Questionable Sources,Low,United States,0
Forever Conscious,https://mediabiasfactcheck.com/forever-conscious/,Conspiracy-Pseudoscience,Low,,"27,684"
Freakout Nation,https://mediabiasfactcheck.com/freakout-nation/,Questionable Sources,Low,Unknown or Invalid Region,"33,297"
Free Patriot Post,https://mediabiasfactcheck.com/free-patriot-post/,Questionable Sources,Low,Unknown or Invalid Region,262
PoliticsOnline.net,https://mediabiasfactcheck.com/free-speech-time/,Questionable Sources,Low,Unknown or Invalid Region,37
Free Thought Project,https://mediabiasfactcheck.com/free-thought-project/,Conspiracy-Pseudoscience,Low,United States,"1,503,377"
Freedom Advocates,https://mediabiasfactcheck.com/freedom-advocates-agenda-21/,Conspiracy-Pseudoscience,Low,United States,"317,189"
Freedom Daily,https://mediabiasfactcheck.com/freedom-daily/,Questionable Sources,Low,Unknown or Invalid Region,"2,368"
Freedom's Final Stand,https://mediabiasfactcheck.com/freedoms-final-stand/,Questionable Sources,Low,Unknown or Invalid Region,133
Fresh News USA,https://mediabiasfactcheck.com/fresh-news-usa/,Questionable Sources,Low,United States,39
From the Trenches World Report,https://mediabiasfactcheck.com/from-the-trenches-world-report/,Conspiracy-Pseudoscience,Low,United States,"77,785"
FrontPage Magazine,https://mediabiasfactcheck.com/frontpage-magazine/,Questionable Sources,Low,United States,"1,802,704"
Geller Report,https://mediabiasfactcheck.com/geller-report/,Questionable Sources,Low,United States,"355,909"
GeoEngineering Watch,https://mediabiasfactcheck.com/geoengineering-watch/,Conspiracy-Pseudoscience,Low,United States,"194,856"
Get Holistic Health,https://mediabiasfactcheck.com/get-holistic-health/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,0
GetCancerRemedies.com,https://mediabiasfactcheck.com/getcancerremedies-com/,Conspiracy-Pseudoscience,Low,Pakistan,5
Girls Just Wanna Have guns,https://mediabiasfactcheck.com/girls-just-wanna-have-guns/,Questionable Sources,Low,United States,"119,306"
Global Info Today,https://mediabiasfactcheck.com/global-info-today/,Questionable Sources,Low,,171
Global Politics Now,https://mediabiasfactcheck.com/global-politics-now/,Questionable Sources,Low,Unknown or Invalid Region,171
Global Research,https://mediabiasfactcheck.com/global-research/,Conspiracy-Pseudoscience,Low,Canada,"3,301,091"
Gnews,https://mediabiasfactcheck.com/gnews/,Questionable Sources,Low,United States,0
Godlike Productions,https://mediabiasfactcheck.com/godlike-productions/,Conspiracy-Pseudoscience,Low,United States,"1,888,686"
Gone Left,https://mediabiasfactcheck.com/gone-left/,Questionable Sources,Low,Unknown or Invalid Region,6
GOP Watchdog,https://mediabiasfactcheck.com/gop-watchdog/,Questionable Sources,Low,United States,217
Got Questions,https://mediabiasfactcheck.com/got-questions-gotquestions-org/,Conspiracy-Pseudoscience,Low,United States,"315,253"
GotNews,https://mediabiasfactcheck.com/gotnews/,Questionable Sources,Low,United States,"90,366"
Government Slaves,https://mediabiasfactcheck.com/government-slaves/,Conspiracy-Pseudoscience,Low,United States,"1,676"
Great American Daily,https://mediabiasfactcheck.com/great-american-daily/,Questionable Sources,Low,United States,0
Great American Republic,https://mediabiasfactcheck.com/great-american-republic-bias-credibility-fake-news/,Questionable Sources,Low,United States,"63,777"
GreenMedInfo,https://mediabiasfactcheck.com/greenmedinfo/,Conspiracy-Pseudoscience,Low,United States,0
Greenville Gazette,https://mediabiasfactcheck.com/greenville-gazette/,Left,Low,United States,"9,908"
Gulag Bound,https://mediabiasfactcheck.com/gulag-bound/,Conspiracy-Pseudoscience,Low,United States,"143,116"
HAARP.net,https://mediabiasfactcheck.com/haarp-net/,Conspiracy-Pseudoscience,Low,United States,"24,986"
Hang The Bankers,https://mediabiasfactcheck.com/hang-the-bankers/,Questionable Sources,Low,United States,"174,565"
Hawar News Agancy,https://mediabiasfactcheck.com/hawar-news-agency/,Questionable Sources,Low,Syria,"4,643"
Health Consciousness,https://mediabiasfactcheck.com/health-consciousness/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"1,438"
Health Impact News,https://mediabiasfactcheck.com/health-impact-news/,Conspiracy-Pseudoscience,Low,United States,"63,672"
Health Sciences Institute,https://mediabiasfactcheck.com/health-sciences-institute/,Conspiracy-Pseudoscience,Low,United States,"37,764"
Healthy Food House,https://mediabiasfactcheck.com/healthy-food-house/,Conspiracy-Pseudoscience,Low,Macedonia,0
Healthy Holistic Living,https://mediabiasfactcheck.com/healthy-holistic-living/,Conspiracy-Pseudoscience,Low,United States,"15,899"
Healthy Vibes,https://mediabiasfactcheck.com/healthy-vibes/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"5,415"
Heartland Institute,https://mediabiasfactcheck.com/heartland-institute/,Questionable Sources,Low,United States,"183,731"
Henry Makow (savethemales.ca),https://mediabiasfactcheck.com/henry-makow-savethemales-ca/,Conspiracy-Pseudoscience,Low,Canada,"75,276"
HL12,https://mediabiasfactcheck.com/hl12/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,1
Hogg Watch,https://mediabiasfactcheck.com/hogg-watch/,Questionable Sources,Low,United States,95
Humans are Free,https://mediabiasfactcheck.com/humans-are-free/,Conspiracy-Pseudoscience,Low,United States,"67,983"
I Hate the Media,https://mediabiasfactcheck.com/i-hate-the-media/,Questionable Sources,Low,United States,"202,929"
Ice Age Now,https://mediabiasfactcheck.com/ice-age-now/,Conspiracy-Pseudoscience,Low,United States,"65,196"
iHealthtube.com,https://mediabiasfactcheck.com/ihealthtube/,Conspiracy-Pseudoscience,Low,United States,"51,856"
Illicit Info,https://mediabiasfactcheck.com/illicit-info/,Questionable Sources,Low,United States,"41,948"
Illuminati News,https://mediabiasfactcheck.com/illuminati-news/,Conspiracy-Pseudoscience,Low,United States,"17,476"
Illuminati Watcher,https://mediabiasfactcheck.com/illuminati-watcher/,Conspiracy-Pseudoscience,Low,United States,"27,378"
Infinite Unknown,https://mediabiasfactcheck.com/infinite-unknown/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"68,203"
InfoGalactic,https://mediabiasfactcheck.com/infogalactic/,Questionable Sources,Low,United States,"22,585"
Information Liberation,https://mediabiasfactcheck.com/information-liberation/,Questionable Sources,Low,United States,"671,366"
Intellihub,https://mediabiasfactcheck.com/intellihub/,Conspiracy-Pseudoscience,Low,United States,"171,948"
International Organization for the Family (IOF),https://mediabiasfactcheck.com/international-organization-for-the-family-iof/,Questionable Sources,Low,United States,"24,105"
Iowa Climate Science Education,https://mediabiasfactcheck.com/iowa-climate-science-education/,Conspiracy-Pseudoscience,Low,United States,72
Jesus Daily,https://mediabiasfactcheck.com/jesus-daily/,Conspiracy-Pseudoscience,Low,United States,"7,755"
Jesus is Savior,https://mediabiasfactcheck.com/jesus-is-savior/,Conspiracy-Pseudoscience,Low,United States,"63,948"
Jew Watch,https://mediabiasfactcheck.com/jew-watch/,Questionable Sources,Low,United States,"36,011"
Jews News,https://mediabiasfactcheck.com/jews-news/,Conspiracy-Pseudoscience,Low,Israel,299
Joe for America,https://mediabiasfactcheck.com/joe-for-america/,Questionable Sources,Low,United States,"154,832"
Jookos News,https://mediabiasfactcheck.com/jookos-news/,Questionable Sources,Low,Unknown or Invalid Region,"1,214"
Judicial Watch,https://mediabiasfactcheck.com/judicial-watch/,Questionable Sources,Low,United States,"466,469"
JunkScience.com,https://mediabiasfactcheck.com/junkscience-com/,Conspiracy-Pseudoscience,Low,United States,"213,858"
Knights Templar International,https://mediabiasfactcheck.com/knights-templar-international/,Questionable Sources,Low,United States,"7,399"
Knowledge of Today,https://mediabiasfactcheck.com/knowledge-of-today/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"18,561"
Lady Liberty News,https://mediabiasfactcheck.com/lady-liberty-news/,Questionable Sources,Low,,929
LaRouche PAC,https://mediabiasfactcheck.com/larouche-pac/,Conspiracy-Pseudoscience,Low,United States,"130,504"
Left Action,https://mediabiasfactcheck.com/left-action/,Questionable Sources,Low,United States,"6,133"
Left Exposed,https://mediabiasfactcheck.com/left-exposed/,Questionable Sources,Low,United States,"64,292"
Liberty Brief,https://mediabiasfactcheck.com/liberty-brief/,Questionable Sources,Low,United States,19
Liberty Courier,https://mediabiasfactcheck.com/liberty-courier/,Questionable Sources,Low,United States,4
Liberty is Viral,https://mediabiasfactcheck.com/liberty-is-viral/,Questionable Sources,Low,United States,"18,134"
Liberty Videos,https://mediabiasfactcheck.com/liberty-videos/,Conspiracy-Pseudoscience,Low,United States,48
LifeSpa,https://mediabiasfactcheck.com/lifespa/,Conspiracy-Pseudoscience,Low,United States,"5,133"
London Web News,https://mediabiasfactcheck.com/london-web-news/,Questionable Sources,Low,United Kingdom,430
LoonWatch,https://mediabiasfactcheck.com/loonwatch/,Questionable Sources,Low,United States,"159,626"
Mad American Network,https://mediabiasfactcheck.com/mad-american-network/,Questionable Sources,Low,,34
Mad World News,https://mediabiasfactcheck.com/mad-world-news/,Questionable Sources,Low,United States,"48,121"
MBGA - Make Britain Great Again,https://mediabiasfactcheck.com/mbga-make-britain-great/,Questionable Sources,Low,United Kingdom,39
Media Zone,https://mediabiasfactcheck.com/media-zone/,Questionable Sources,Low,,1
Medicine News,https://mediabiasfactcheck.com/medicine-news/,Conspiracy-Pseudoscience,Low,United States,"46,138"
Mercola,https://mediabiasfactcheck.com/mercola/,Conspiracy-Pseudoscience,Low,United States,"327,430"
Metapedia,https://mediabiasfactcheck.com/metapedia/,Questionable Sources,Low,United States,"1,000"
Middle East Forum,https://mediabiasfactcheck.com/middle-east-forum/,Questionable Sources,Low,United States,"234,182"
Mixi.Media,https://mediabiasfactcheck.com/mixi-media/,Questionable Sources,Low,,"1,513,790"
Molon Labe Media,https://mediabiasfactcheck.com/molon-labe-media/,Questionable Sources,Low,United States,"1,963"
MoonBattery,https://mediabiasfactcheck.com/moonbattery/,Questionable Sources,Low,United States,"1,029,684"
Morning Ledger,https://mediabiasfactcheck.com/morning-ledger/,Conspiracy-Pseudoscience,Low,Australia,"5,317"
Moving Left,https://mediabiasfactcheck.com/moving-left/,Questionable Sources,Low,United States,34
Mr. Conservative (MRC),https://mediabiasfactcheck.com/mr-conservative-mrc/,Questionable Sources,Low,United States,"32,143"
My Right American,https://mediabiasfactcheck.com/my-right-american/,Questionable Sources,Low,,213
National Economics Editorial,https://mediabiasfactcheck.com/national-economics-editorial/,Questionable Sources,Low,United States,109
National Enquirer,https://mediabiasfactcheck.com/national-enquirer/,Questionable Sources,Low,United States,"596,961"
National File,https://mediabiasfactcheck.com/national-file/,Conspiracy-Pseudoscience,Low,United States,0
National Vaccine Information Institute,https://mediabiasfactcheck.com/national-vaccine-information-center-nvic/,Conspiracy-Pseudoscience,Low,United States,"1,632,892"
Natural Cures Not Medicine,https://mediabiasfactcheck.com/natural-cures-not-medicine/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,5
Need to Know,https://mediabiasfactcheck.com/need-to-know/,Conspiracy-Pseudoscience,Low,United States,"209,042"
Neon Nettle,https://mediabiasfactcheck.com/neon-nettle/,Conspiracy-Pseudoscience,Low,United States,"488,943"
NeverRepublican.com,https://mediabiasfactcheck.com/neverrepublican-com/,Questionable Sources,Low,,329
Nevo News,https://mediabiasfactcheck.com/nevo-news/,Questionable Sources,Low,Unknown or Invalid Region,51
New Century Times,https://mediabiasfactcheck.com/new-century-times/,Questionable Sources,Low,Unknown or Invalid Region,"5,293"
New Politics Today,https://mediabiasfactcheck.com/new-politics-today/,Questionable Sources,Low,United States,"2,572"
News Feed Hunter,https://mediabiasfactcheck.com/news-feed-hunter/,Questionable Sources,Low,Unknown or Invalid Region,65
News and Stories from USA,https://mediabiasfactcheck.com/news-stories-usa/,Questionable Sources,Low,Unknown or Invalid Region,288
News Target,https://mediabiasfactcheck.com/news-target/,Conspiracy-Pseudoscience,Low,United States,"178,937"
News Up Today,https://mediabiasfactcheck.com/news-up-today/,Questionable Sources,Low,China,32
News with Views,https://mediabiasfactcheck.com/news-with-views/,Questionable Sources,Low,,"266,582"
NewsBreaksHere,https://mediabiasfactcheck.com/newsbreakshere/,Questionable Sources,Low,,196
NewsWars,https://mediabiasfactcheck.com/newswars/,Questionable Sources,Low,United States,"76,601"
NMWS.us,https://mediabiasfactcheck.com/nmws-us/,Questionable Sources,Low,,13
NoDisInfo,https://mediabiasfactcheck.com/nodisinfo/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"4,436"
Nos Comunicamos,https://mediabiasfactcheck.com/nos-comunicamos/,Questionable Sources,Low,,87
NoTricksZone,https://mediabiasfactcheck.com/notrickszone/,Conspiracy-Pseudoscience,Low,Germany,"218,877"
Now The End Begins,https://mediabiasfactcheck.com/now-the-end-begins/,Conspiracy-Pseudoscience,Low,,"115,818"
Oath Keepers,https://mediabiasfactcheck.com/oath-keepers/,Questionable Sources,Low,United States,"124,341"
Occupy Democrats,https://mediabiasfactcheck.com/occupy-democrats/,Questionable Sources,Low,United States,"40,318"
Online Conservative Press,https://mediabiasfactcheck.com/online-conservative-press/,Questionable Sources,Low,,15
Our Health Guides,https://mediabiasfactcheck.com/our-health-guides/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,101
Overpasses for America,https://mediabiasfactcheck.com/overpasses-for-america/,Questionable Sources,Low,United States,"2,463"
Oye.news,https://mediabiasfactcheck.com/oye-news/,Conspiracy-Pseudoscience,Low,United Kingdom,49
Pacific Pundit,https://mediabiasfactcheck.com/pacific-pundit/,Questionable Sources,Low,United States,"87,084"
Pak Alert Press,https://mediabiasfactcheck.com/pak-alert-press/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"133,190"
Pants on Fire News,https://mediabiasfactcheck.com/pants-on-fire-news/,Questionable Sources,Low,United States,0
Patribotics Blog,https://mediabiasfactcheck.com/patribotics-blog/,Questionable Sources,Low,,"9,544"
Patriot Beacon,https://mediabiasfactcheck.com/patriot-beacon/,Questionable Sources,Low,,6
Patriot Fires,https://mediabiasfactcheck.com/patriot-fires/,Questionable Sources,Low,,"1,691"
Patriot Update,https://mediabiasfactcheck.com/patriot-update/,Questionable Sources,Low,,"224,331"
Patriotic Express,https://mediabiasfactcheck.com/patriotic-express/,Questionable Sources,Low,,"3,233"
Patriotic Viral News,https://mediabiasfactcheck.com/patriotic-viral-news/,Questionable Sources,Low,,"3,381"
Patriots Voice,https://mediabiasfactcheck.com/patriots-voice/,Questionable Sources,Low,Unknown or Invalid Region,33
PC Must Die News,https://mediabiasfactcheck.com/pc-must-die-news/,Questionable Sources,Low,United States,0
Personal Liberty,https://mediabiasfactcheck.com/personal-liberty/,Questionable Sources,Low,United States,"142,960"
Plymouth Patriot Post,https://mediabiasfactcheck.com/plymouth-patriot-post/,Questionable Sources,Low,United States,"2,130"
PM Nightly News,https://mediabiasfactcheck.com/pm-nightly-news/,Questionable Sources,Low,United States,36
Police Times,https://mediabiasfactcheck.com/police-times/,Questionable Sources,Low,,24
Political Blindspot,https://mediabiasfactcheck.com/political-blind-spot/,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"9,464"
Political Ears,https://mediabiasfactcheck.com/political-ears/,Questionable Sources,Low,,53
Political Flare,https://mediabiasfactcheck.com/political-flare/,Questionable Sources,Low,United States,83
Political Inbox,https://mediabiasfactcheck.com/political-inbox/,Questionable Sources,Low,,9
Political Mayhem News,https://mediabiasfactcheck.com/political-mayhem-news/,Questionable Sources,Low,,"3,720"
Political Site News,https://mediabiasfactcheck.com/political-site-news/,Questionable Sources,Low,Unknown or Invalid Region,"40,978"
Politico Info,https://mediabiasfactcheck.com/politico-info/,Questionable Sources,Low,Unknown or Invalid Region,71
Poltifact News,https://mediabiasfactcheck.com/politifact-news/,Questionable Sources,Low,,120
Population Research Institute,https://mediabiasfactcheck.com/population-research-institute/,Questionable Sources,Low,United States,0
Powdered Wig Society,https://mediabiasfactcheck.com/powdered-wig-society/,Questionable Sources,Low,United States,"29,597"
PragerU,https://mediabiasfactcheck.com/prageru/,Questionable Sources,Low,United States,"115,631"
Prepare for Change,https://mediabiasfactcheck.com/prepare-for-change/,Conspiracy-Pseudoscience,Low,,"97,606"
President 45 Donald Trump,https://mediabiasfactcheck.com/president-45-donald-trump/,Questionable Sources,Low,,"6,903"
Press TV,https://mediabiasfactcheck.com/press-tv/,Questionable Sources,Low,Iran,"6,199,012"
Prideof-america.org (American News),https://mediabiasfactcheck.com/prideof-america-org-american-news/,Questionable Sources,Low,,77
Principia Scientific International,https://mediabiasfactcheck.com/principia-scientific-international/,Conspiracy-Pseudoscience,Low,United Kingdom,"5,106"
Prison Planet,https://mediabiasfactcheck.com/prison-planet/,Conspiracy-Pseudoscience,Low,,"2,071,789"
Prntly,https://mediabiasfactcheck.com/prntly/,Questionable Sources,Low,Unknown or Invalid Region,"1,437"
Pro Trump News,https://mediabiasfactcheck.com/pro-trump-news/,Questionable Sources,Low,Unknown or Invalid Region,0
Progressives Today,https://mediabiasfactcheck.com/progressives-today/,Questionable Sources,Low,United States,"46,006"
Project Purge,https://mediabiasfactcheck.com/project-purge/,Questionable Sources,Low,,100
Prophecy News Watch,https://mediabiasfactcheck.com/prophecy-news-watch/,Conspiracy-Pseudoscience,Low,United States,"24,281"
Prophecy Today,https://mediabiasfactcheck.com/prophecy-today/,Conspiracy-Pseudoscience,Low,,"47,910"
Proud Leader,https://mediabiasfactcheck.com/proud-leader/,Questionable Sources,Low,,995
Puppet String News,https://mediabiasfactcheck.com/puppet-string-news/,Questionable Sources,Low,,"16,565"
Rapture News Network,https://mediabiasfactcheck.com/rapture-news-network/,Conspiracy-Pseudoscience,Low,United States,"8,066"
Read Conservatives,https://mediabiasfactcheck.com/read-conservatives/,Questionable Sources,Low,,132
Reagan Coalition,https://mediabiasfactcheck.com/reagan-coalition/,Questionable Sources,Low,,"11,456"
Real Climate Science,https://mediabiasfactcheck.com/real-climate-science/,Conspiracy-Pseudoscience,Low,United States,0
Real Jew News,https://mediabiasfactcheck.com/real-jew-news/,Conspiracy-Pseudoscience,Low,,"99,305"
Real News 24,https://mediabiasfactcheck.com/real-news-24/,Conspiracy-Pseudoscience,Low,,"11,577"
Real Time Politics,https://mediabiasfactcheck.com/real-time-politics/,Questionable Sources,Low,,540
RealFarmacy,https://mediabiasfactcheck.com/realfarmacy/,Conspiracy-Pseudoscience,Low,,"15,645"
Red Country - Conservative News,https://mediabiasfactcheck.com/red-country-conservative-news/,Questionable Sources,Low,,33
Red Ice TV,https://mediabiasfactcheck.com/red-ice-tv/,Questionable Sources,Low,Sweden,"551,400"
Red Politics,https://mediabiasfactcheck.com/red-politics/,Questionable Sources,Low,,4
Red Rock Tribune,https://mediabiasfactcheck.com/red-rock-tribune/,Questionable Sources,Low,United States,16
Red State Pundit,https://mediabiasfactcheck.com/red-state-pundit/,Questionable Sources,Low,Unknown or Invalid Region,"1,071"
Red State Watcher,https://mediabiasfactcheck.com/red-state-watcher/,Questionable Sources,Low,,"116,172"
"Red, White and Right",https://mediabiasfactcheck.com/red-white-and-right/,Questionable Sources,Low,,"3,331"
RedStateWave,https://mediabiasfactcheck.com/redstatewave/,Questionable Sources,Low,,41
Reed Cooper News,https://mediabiasfactcheck.com/reed-cooper-news/,Questionable Sources,Low,United States,"3,271"
Reflection of Mind,https://mediabiasfactcheck.com/reflection-of-mind/,Conspiracy-Pseudoscience,Low,,"1,611"
