name,url_as,bias_as,agree_as,disagree_as,agree_ratio_as,agree_desc_as
Eastern Echo,https://www.allsides.com/news-source/eastern-echo,not-rated,9,31,0.29032258055150884,absolutely disagree
Eaton Rapids Daily News,https://www.allsides.com/news-source/eaton-rapids-daily-news,not-rated,5,20,0.249999999875,absolutely disagree
Education Week,https://www.allsides.com/news-source/education-week,not-rated,80,133,0.6015037593532704,disagree
Edwardsburg Argus,https://www.allsides.com/news-source/edwardsburg-argus,not-rated,33,11,2.999999997272727,strongly agree
El Paso County Advertiser and News,https://www.allsides.com/news-source/el-paso-county-advertiser-and-news,not-rated,2,6,0.33333333277777777,strongly disagree
El Vocero Hispano,https://www.allsides.com/news-source/el-vocero-hispano,not-rated,39,23,1.6956521731758034,agree
Entrepreneur Magazine,https://www.allsides.com/news-source/entrepreneur-magazine-media-bias,not-rated,21,29,0.72413793078478,somewhat disagree
Ermergent,https://www.allsides.com/news-source/ermergent,not-rated,1,2,0.4999999975,strongly disagree
Erraticus,https://www.allsides.com/news-source/erraticus-media-bias,center,3,3,0.9999999966666667,NA
Escanaba Daily Press,https://www.allsides.com/news-source/escanaba-daily-press,not-rated,27,43,0.6279069765981612,disagree
ESPN,https://www.allsides.com/news-source/espn,not-rated,125,129,0.9689922479868998,somewhat disagree
Esquire,https://www.allsides.com/news-source/esquire,left,953,522,1.8256704980493166,agree
Estes Park Trail Gazette,https://www.allsides.com/news-source/estes-park-trail-gazette,center,245,327,0.7492354739832038,somewhat disagree
Estherville Daily News,https://www.allsides.com/news-source/estherville-daily-news,not-rated,9,21,0.4285714283673469,strongly disagree
Eurek Alert,https://www.allsides.com/news-source/eurek-alert,center,332,367,0.9046321525639065,somewhat disagree
Examiner.com,https://www.allsides.com/news-source/examinercom,not-rated,0,3,0.0,absolutely disagree
Fabius Maximus,https://www.allsides.com/news-source/fabius-maximus,not-rated,14,21,0.6666666663492063,disagree
Fact Checker Blog,https://www.allsides.com/news-source/fact-checker-blog,center,757,629,1.2034976152431875,somewhat agree
FactCheck.org,https://www.allsides.com/news-source/factcheckorg-media-bias,center,5947,4562,1.3035949145083219,somewhat agree
FAIR,https://www.allsides.com/news-source/fair-media-bias,left-center,500,494,1.0121457489673655,somewhat agree
Fairbanks News Miner,https://www.allsides.com/news-source/fairbanks-news-miner,not-rated,8,6,1.333333331111111,somewhat agree
Fairfield Daily Ledger,https://www.allsides.com/news-source/fairfield-daily-ledger,not-rated,21,33,0.6363636361707988,disagree
Falls Church News - Press,https://www.allsides.com/news-source/falls-church-news-press,left,385,454,0.8480176211266957,somewhat disagree
Fannin Sentinel,https://www.allsides.com/news-source/fannin-sentinel,not-rated,13,11,1.1818181807438015,somewhat agree
Farmers' Advance,https://www.allsides.com/news-source/farmers-advance,not-rated,13,32,0.4062499998730469,strongly disagree
Farmington Observer,https://www.allsides.com/news-source/farmington-observer,not-rated,11,26,0.4230769229142012,strongly disagree
Farmington Press,https://www.allsides.com/news-source/farmington-press,not-rated,12,36,0.3333333332407407,strongly disagree
Fast Company,https://www.allsides.com/news-source/fast-company,not-rated,70,147,0.47619047615808224,strongly disagree
Fenton Press,https://www.allsides.com/news-source/fenton-press,not-rated,5,11,0.45454545413223135,strongly disagree
Ferris State Torch,https://www.allsides.com/news-source/ferris-state-torch,not-rated,10,29,0.34482758608799047,strongly disagree
Financial Times,https://www.allsides.com/news-source/financial-times-media-bias,center,490,325,1.5076923076459172,agree
Fiscal Times,https://www.allsides.com/news-source/fiscal-times,right-center,704,601,1.1713810315944861,somewhat agree
FiveThirtyEight,https://www.allsides.com/news-source/fivethirtyeight-0,center,3527,2226,1.5844564240719476,agree
Flint Journal,https://www.allsides.com/news-source/flint-journal,not-rated,28,46,0.6086956520415879,disagree
Flushing Observer,https://www.allsides.com/news-source/flushing-observer,not-rated,4,19,0.21052631567867036,absolutely disagree
Forbes,https://www.allsides.com/news-source/forbes,center,5730,3316,1.7279855247233777,agree
Foreign Affairs,https://www.allsides.com/news-source/foreign-affairs,center,881,493,1.7870182555418455,agree
Foreign Policy,https://www.allsides.com/news-source/foreign-policy-media-bias,center,80,80,0.9999999998750001,NA
Fort Madison Daily Democrat,https://www.allsides.com/news-source/fort-madison-daily-democrat,not-rated,8,32,0.249999999921875,absolutely disagree
Fortune,https://www.allsides.com/news-source/fortune,not-rated,86,167,0.5149700598494029,disagree
Fosters Daily Democrat,https://www.allsides.com/news-source/fosters-daily-democrat,not-rated,11,10,1.0999999989,somewhat agree
Fowler Tribune,https://www.allsides.com/news-source/fowler-tribune,not-rated,23,17,1.3529411756747405,somewhat agree
Fox News Latino,https://www.allsides.com/news-source/fox-news-latino,right,1844,953,1.9349422874928128,agree
Fox News Opinion,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,10193,2414,4.222452361208689,absolutely agree
Fox Online News,https://www.allsides.com/news-source/fox-news-media-bias,right-center,25973,34765,0.7471019703722862,somewhat disagree
Frankenmuth News,https://www.allsides.com/news-source/frankenmuth-news,not-rated,25,13,1.923076921597633,agree
Fraser-Clinton Township Chronicle,https://www.allsides.com/news-source/fraser-clinton-township-chronicle,not-rated,36,21,1.7142857134693876,agree
Fremont Times Indicator,https://www.allsides.com/news-source/fremont-times-indicator,not-rated,19,42,0.4523809522732426,strongly disagree
FrontPage Magazine,https://www.allsides.com/news-source/frontpage-magazine,right,509,395,1.2886075949040858,somewhat agree
FXStreet,https://www.allsides.com/news-source/fxstreet,not-rated,23,30,0.7666666664111111,somewhat disagree
Garden City Observer,https://www.allsides.com/news-source/garden-city-observer,not-rated,9,26,0.34615384602071003,strongly disagree
Gaston Gazette,https://www.allsides.com/news-source/gaston-gazette,not-rated,6,5,1.1999999976,somewhat agree
Gaylord Herald Times,https://www.allsides.com/news-source/gaylord-herald-times,not-rated,19,28,0.6785714283290816,somewhat disagree
Gaylord Weekly Choice,https://www.allsides.com/news-source/gaylord-weekly-choice,not-rated,28,4,6.9999999825,absolutely agree
Gazette van Detroit,https://www.allsides.com/news-source/gazette-van-detroit-0,not-rated,21,9,2.3333333307407407,strongly agree
Gizmodo,https://www.allsides.com/news-source/gizmodo,not-rated,115,107,1.0747663550397415,somewhat agree
GLAAD,https://www.allsides.com/news-source/glaad-media-bias,left-center,1,1,0.9999999900000002,NA
Gladwin County Record & Beaverton Clarion,https://www.allsides.com/news-source/gladwin-county-record-beaverton-clarion,not-rated,33,29,1.1379310340903686,somewhat agree
Glamour,https://www.allsides.com/news-source/glamour,not-rated,30,50,0.59999999988,disagree
Glasgow Daily Times,https://www.allsides.com/news-source/glasgow-daily-times,not-rated,13,16,0.8124999994921874,somewhat disagree
Global Research,https://www.allsides.com/news-source/global-research,not-rated,15,19,0.7894736837950138,somewhat disagree
Globe Gazette,https://www.allsides.com/news-source/globe-gazette,not-rated,18,39,0.46153846142011834,strongly disagree
Gonzales Weekly Citizen,https://www.allsides.com/news-source/gonzales-weekly-citizen,not-rated,2,4,0.49999999875,strongly disagree
Google News,https://www.allsides.com/news-source/google-news-media-bias,left-center,310,228,1.3596491227473837,somewhat agree
GQ.com,https://www.allsides.com/news-source/gqcom-media-bias,left-center,53,74,0.7162162161194303,somewhat disagree
Graham Star,https://www.allsides.com/news-source/graham-star,not-rated,13,17,0.7647058819031142,somewhat disagree
Grand Blanc View,https://www.allsides.com/news-source/grand-blanc-view,not-rated,33,13,2.5384615365088754,strongly agree
Grand Blanc View,https://www.allsides.com/news-source/grand-blanc-view-0,not-rated,21,47,0.44680851054323223,strongly disagree
Grand Haven Tribune,https://www.allsides.com/news-source/grand-haven-tribune,not-rated,16,47,0.34042553184246266,strongly disagree
Grand Junction Daily Sentinel,https://www.allsides.com/news-source/grand-junction-daily-sentinel,not-rated,55,69,0.7971014491598405,somewhat disagree
Grand Rapids Business Journal,https://www.allsides.com/news-source/grand-rapids-business-journal,not-rated,35,15,2.333333331777778,strongly agree
Grand Rapids Press,https://www.allsides.com/news-source/grand-rapids-press,not-rated,31,14,2.2142857127040814,strongly agree
Grand Rapids Times,https://www.allsides.com/news-source/grand-rapids-times,not-rated,31,10,3.0999999969,absolutely agree
Grand Valley Advance,https://www.allsides.com/news-source/grand-valley-advance-0,not-rated,14,8,1.7499999978124998,agree
Grand Valley Advance,https://www.allsides.com/news-source/grand-valley-advance,not-rated,6,12,0.4999999995833333,strongly disagree
Grand Valley Lanthorn,https://www.allsides.com/news-source/grand-valley-lanthorn,not-rated,11,30,0.3666666665444444,strongly disagree
Gratiot County Herald,https://www.allsides.com/news-source/gratiot-county-herald,not-rated,19,45,0.42222222212839505,strongly disagree
Gratiot County Herald,https://www.allsides.com/news-source/gratiot-county-herald-0,not-rated,12,24,0.49999999979166665,strongly disagree
Greensboro News and Record,https://www.allsides.com/news-source/greensboro-news-and-record,not-rated,7,11,0.6363636357851239,disagree
Greenville Daily News,https://www.allsides.com/news-source/greenville-daily-news,not-rated,18,25,0.719999999712,somewhat disagree
Grist,https://www.allsides.com/news-source/grist,left-center,460,511,0.9001956946986263,somewhat disagree
Grosse Pointe News,https://www.allsides.com/news-source/grosse-pointe-news,not-rated,48,21,2.2857142846258505,strongly agree
Grosse Pointe Times,https://www.allsides.com/news-source/grosse-pointe-times,not-rated,7,23,0.3043478259546314,absolutely disagree
Gunnison Country Times,https://www.allsides.com/news-source/gunnison-country-times,not-rated,8,11,0.7272727266115702,somewhat disagree
Gwinnett Daily post,https://www.allsides.com/news-source/gwinnett-daily-post,not-rated,1,1,0.9999999900000002,NA
Gwinnett Daily Post,https://www.allsides.com/news-source/gwinnett-daily-post-0,not-rated,15,9,1.6666666648148147,agree
Hampton Roads Messanger,https://www.allsides.com/news-source/hampton-roads-messanger,center,376,378,0.9947089946826796,somewhat disagree
Hamtramak Review,https://www.allsides.com/news-source/hamtramak-review,not-rated,4,32,0.1249999999609375,absolutely disagree
Harbor Country News,https://www.allsides.com/news-source/harbor-country-news,not-rated,7,18,0.3888888886728395,strongly disagree
Harbor Light,https://www.allsides.com/news-source/harbor-light,not-rated,4,29,0.1379310344351962,absolutely disagree
Harper Woods Advertiser Times,https://www.allsides.com/news-source/harper-woods-advertiser-times,not-rated,4,27,0.14814814809327845,absolutely disagree
Harvard Business School,https://www.allsides.com/news-source/harvard-business-school,left-center,671,795,0.8440251572220877,somewhat disagree
Hastings Banner,https://www.allsides.com/news-source/hastings-banner,not-rated,14,37,0.3783783782761139,strongly disagree
Hastings Reminder,https://www.allsides.com/news-source/hastings-reminder,not-rated,19,34,0.5588235292474049,disagree
Haxtun-Fleming Herald,https://www.allsides.com/news-source/haxtun-fleming-herald,not-rated,12,7,1.7142857118367347,agree
Heavy.com,https://www.allsides.com/news-source/heavycom-media-bias,center,31,30,1.033333332988889,somewhat agree
Henderson Gleaner,https://www.allsides.com/news-source/henderson-gleaner,not-rated,4,8,0.49999999937499995,strongly disagree
Henry Daily Herald,https://www.allsides.com/news-source/henry-daily-herald,not-rated,2,9,0.2222222219753086,absolutely disagree
Henry Daily Herald,https://www.allsides.com/news-source/henry-daily-herald-0,not-rated,6,3,1.9999999933333334,agree
Herald Democrat,https://www.allsides.com/news-source/herald-democrat-0,left,443,362,1.2237569060435427,somewhat agree
Herald-Dispatch,https://www.allsides.com/news-source/herald-dispatch,not-rated,12,5,2.3999999952,strongly agree
Herald-Palladium,https://www.allsides.com/news-source/herald-palladium,not-rated,35,22,1.5909090901859504,agree
Hickory Daily Record,https://www.allsides.com/news-source/hickory-daily-record,not-rated,16,12,1.333333332222222,somewhat agree
High Country Press,https://www.allsides.com/news-source/high-country-press,not-rated,7,10,0.6999999992999999,somewhat disagree
High County News,https://www.allsides.com/news-source/high-county-news,not-rated,0,4,0.0,absolutely disagree
High Point Enterprise,https://www.allsides.com/news-source/high-point-enterprise,not-rated,11,7,1.5714285691836736,agree
Hillsdale Daily News,https://www.allsides.com/news-source/hillsdale-daily-news,not-rated,30,16,1.874999998828125,agree
Holland Sentinal,https://www.allsides.com/news-source/holland-sentinal,not-rated,42,62,0.6774193547294485,somewhat disagree
Holt Community News,https://www.allsides.com/news-source/holt-community-news,not-rated,20,8,2.4999999968749997,strongly agree
Homer Index,https://www.allsides.com/news-source/homer-index,not-rated,29,12,2.4166666646527775,strongly agree
Honolulu Civil Beat,https://www.allsides.com/news-source/honolulu-civil-beat,center,329,447,0.7360178970752569,somewhat disagree
Hope Star,https://www.allsides.com/news-source/hope-star,not-rated,0,1,0.0,absolutely disagree
HotAir,https://www.allsides.com/news-source/hotair,right-center,1000,895,1.1173184357417059,somewhat agree
Houghton Lake Register,https://www.allsides.com/news-source/houghton-lake-register,not-rated,7,36,0.1944444443904321,absolutely disagree
Houma Today,https://www.allsides.com/news-source/houma-today,not-rated,6,4,1.4999999962500001,somewhat agree
Houston Chronicle,https://www.allsides.com/news-source/houston-chronicle-media-bias,center,31,20,1.549999999225,agree
How Do We Fix It?,https://www.allsides.com/news-source/how-do-we-fix-it,center,608,591,1.0287648053971443,somewhat agree
Howard Kurtz,https://www.allsides.com/news-source/howard-kurtz-media-bias,center,81,68,1.1911764704130623,somewhat agree
Hudson Post-Gazette,https://www.allsides.com/news-source/hudson-post-gazette,not-rated,24,25,0.959999999616,somewhat disagree
HuffPost,https://www.allsides.com/news-source/huffpost-media-bias,left,23611,20448,1.1546850547725183,somewhat agree
Idaho Statesman,https://www.allsides.com/news-source/idaho-statesman-media-bias,center,48,44,1.090909090661157,somewhat agree
In These Times,https://www.allsides.com/news-source/these-times,not-rated,84,70,1.1999999998285715,somewhat agree
Inacow,https://www.allsides.com/news-source/inacow,right,374,264,1.416666666613005,somewhat agree
Independent Journal Review,https://www.allsides.com/news-source/independent-journal-review,right-center,1200,1108,1.0830324909649547,somewhat agree
Indiana Daily Student,https://www.allsides.com/news-source/indiana-daily-student,center,272,353,0.7705382436042341,somewhat disagree
Indy Online,https://www.allsides.com/news-source/indy-online,center,274,303,0.9042904290130597,somewhat disagree
Indy Week,https://www.allsides.com/news-source/indy-week,left-center,296,339,0.873156342157134,somewhat disagree
InfoWars,https://www.allsides.com/news-source/infowars,right,4330,1012,4.278656126439934,absolutely agree
Inside Philanthropy,https://www.allsides.com/news-source/inside-philanthropy,center,294,325,0.9046153845875503,somewhat disagree
InsideSources,https://www.allsides.com/news-source/insidesources,not-rated,59,101,0.5841584157837467,disagree
Intellectual Conservative,https://www.allsides.com/news-source/intellectual-conservative,right-center,356,384,0.9270833333091906,somewhat disagree
Intermountain Jewish News,https://www.allsides.com/news-source/intermountain-jewish-news,not-rated,12,7,1.7142857118367347,agree
International Business Times,https://www.allsides.com/news-source/international-business-times,center,1006,769,1.3081924577203097,somewhat agree
International Policy Digest,https://www.allsides.com/news-source/international-policy-digest,not-rated,110,65,1.6923076920473374,agree
Investor's Business Daily,https://www.allsides.com/news-source/investors-business-daily,right-center,1144,914,1.2516411378418857,somewhat agree
Ionia Sentinel-Standard,https://www.allsides.com/news-source/ionia-sentinel-standard,not-rated,44,37,1.1891891888677866,somewhat agree
Iowa City Press-Citizen,https://www.allsides.com/news-source/iowa-city-press-citizen,not-rated,4,24,0.1666666665972222,absolutely disagree
Iron County Reporter,https://www.allsides.com/news-source/iron-county-reporter,not-rated,13,17,0.7647058819031142,somewhat disagree
Iron Mountain Daily News,https://www.allsides.com/news-source/iron-mountain-daily-news,not-rated,43,29,1.4827586201783591,somewhat agree
Ironwood Daily Globe,https://www.allsides.com/news-source/ironwood-daily-globe,not-rated,33,23,1.4347826080718336,somewhat agree
IVN,https://www.allsides.com/news-source/ivn,center,426,424,1.0047169811083794,somewhat agree
Jackson City Patriot,https://www.allsides.com/news-source/jackson-city-patriot,not-rated,12,35,0.34285714275918366,strongly disagree
Jackson County Legal News,https://www.allsides.com/news-source/jackson-county-legal-news,not-rated,30,14,2.1428571413265303,strongly agree
Jacksonville Daily News,https://www.allsides.com/news-source/jacksonville-daily-news,not-rated,4,5,0.7999999984,somewhat disagree
Jacksonville Patriot,https://www.allsides.com/news-source/jacksonville-patriot,not-rated,0,1,0.0,absolutely disagree
Jacobin,https://www.allsides.com/news-source/jacobin-media-bias,left,594,150,3.9599999997359996,absolutely agree
Jefferson Post,https://www.allsides.com/news-source/jefferson-post,not-rated,9,9,0.9999999988888888,NA
Jezebel,https://www.allsides.com/news-source/jezebel-media-bias,left,150,63,2.380952380574452,strongly agree
Jonesboro Sun,https://www.allsides.com/news-source/jonesboro-sun,not-rated,12,8,1.4999999981249998,somewhat agree
Journal-Advocate,https://www.allsides.com/news-source/journal-advocate,not-rated,8,20,0.3999999998,strongly disagree
Journalist's Resource,https://www.allsides.com/news-source/journalists-resource,center,253,294,0.8605442176578046,somewhat disagree
JTA,https://www.allsides.com/news-source/jta,not-rated,38,72,0.5277777777044753,disagree
Jubilee Media,https://www.allsides.com/news-source/jubilee-media-bias,center,172,152,1.131578947293975,somewhat agree
Judicial Watch,https://www.allsides.com/news-source/judicial-watch,right-center,1077,1193,0.9027661357845536,somewhat disagree
Julesburg Advocate,https://www.allsides.com/news-source/julesburg-advocate,not-rated,11,16,0.6874999995703125,somewhat disagree
Juneau Empire,https://www.allsides.com/news-source/juneau-empire,not-rated,0,1,0.0,absolutely disagree
Kalamazoo Gazette,https://www.allsides.com/news-source/kalamazoo-gazette,not-rated,49,35,1.3999999995999999,somewhat agree
KATU,https://www.allsides.com/news-source/katu-media-bias,center,50,52,0.9615384613535503,somewhat disagree
Kellogg Insight,https://www.allsides.com/news-source/kellogg-insight,not-rated,42,26,1.6153846147633135,agree
Kentucky New Era,https://www.allsides.com/news-source/kentucky-new-era,not-rated,25,25,0.9999999996,NA
Keokuk Daily Gate City,https://www.allsides.com/news-source/keokuk-daily-gate-city,not-rated,8,26,0.3076923075739645,absolutely disagree
Ketchikan Daily News,https://www.allsides.com/news-source/ketchikan-daily-news,not-rated,21,17,1.2352941169204152,somewhat agree
Kinston Free Press,https://www.allsides.com/news-source/kinston-free-press,not-rated,27,22,1.227272726714876,somewhat agree
Kiowa County Press,https://www.allsides.com/news-source/kiowa-county-press,not-rated,4,9,0.4444444439506172,strongly disagree
Kitsap Sun,https://www.allsides.com/news-source/kitsap-sun-media-bias,not-rated,1,3,0.3333333322222222,strongly disagree
Kodiak Daily Mirror,https://www.allsides.com/news-source/kodiak-daily-mirror,not-rated,9,11,0.8181818174380164,somewhat disagree
KQED,https://www.allsides.com/news-source/kqed,center,471,397,1.1863979848567658,somewhat agree
KSL,https://www.allsides.com/news-source/ksl,right,863,676,1.2766272189160262,somewhat agree
KSTU,https://www.allsides.com/news-source/kstu,not-rated,471,316,1.4905063290667562,somewhat agree
KTVX- Good4Utah,https://www.allsides.com/news-source/ktvx,not-rated,818,555,1.4738738738473176,somewhat agree
KUTV,https://www.allsides.com/news-source/kutv,not-rated,301,321,0.9376947040206325,somewhat disagree
La Junta Tribune-Democrat,https://www.allsides.com/news-source/la-junta-tribune-democrat,not-rated,9,20,0.449999999775,strongly disagree
La Prensa de Toledo,https://www.allsides.com/news-source/la-prensa-de-toledo,not-rated,4,23,0.1739130434026465,absolutely disagree
Laconia Daily Sun,https://www.allsides.com/news-source/laconia-daily-sun,not-rated,7,7,0.9999999985714286,NA
LaGrange Daily News,https://www.allsides.com/news-source/lagrange-daily-news,not-rated,35,10,3.4999999964999997,absolutely agree
LaGrange Daily News,https://www.allsides.com/news-source/lagrange-daily-news-0,not-rated,20,26,0.7692307689349113,somewhat disagree
Lake Orion Review,https://www.allsides.com/news-source/lake-orion-review,not-rated,7,26,0.26923076912721894,absolutely disagree
Lakeview Enterprise,https://www.allsides.com/news-source/lakeview-enterprise,not-rated,25,9,2.7777777746913577,strongly agree
Lansing City Pulse,https://www.allsides.com/news-source/lansing-city-pulse,not-rated,6,34,0.176470588183391,absolutely disagree
Lansing State Journal,https://www.allsides.com/news-source/lansing-state-journal,not-rated,31,13,2.3846153827810648,strongly agree
Lapeer Area View,https://www.allsides.com/news-source/lapeer-area-view,not-rated,13,10,1.2999999987,somewhat agree
Lapeer County Press,https://www.allsides.com/news-source/lapeer-county-press,not-rated,12,14,0.8571428565306122,somewhat disagree
Las Vegas Sun,https://www.allsides.com/news-source/las-vegas-sun,left-center,282,287,0.9825783971783073,somewhat disagree
Law Week Colorado,https://www.allsides.com/news-source/law-week-colorado,not-rated,4,1,3.9999999600000007,absolutely agree
Lawrence Journal World,https://www.allsides.com/news-source/lawrence-journal-world,not-rated,64,44,1.454545454214876,somewhat agree
Leader-News,https://www.allsides.com/news-source/leader-news,not-rated,1,7,0.14285714265306124,absolutely disagree
Ledger-Enquirer,https://www.allsides.com/news-source/ledger-enquirer,not-rated,0,2,0.0,absolutely disagree
Ledger-Enquirer,https://www.allsides.com/news-source/ledger-enquirer-0,not-rated,37,22,1.681818181053719,agree
Leelanau Enterprise,https://www.allsides.com/news-source/leelanau-enterprise,not-rated,25,29,0.8620689652199762,somewhat disagree
Leesburg Today,https://www.allsides.com/news-source/leesburg-today,right-center,219,196,1.1173469387185027,somewhat agree
Leesville Daily Leader,https://www.allsides.com/news-source/leesville-daily-leader,not-rated,10,18,0.5555555552469136,disagree
Left - Major Media Sources,https://www.allsides.com/news-source/left-major-publications,left,562,439,1.2801822323170802,somewhat agree
LeMars Daily Sentinel,https://www.allsides.com/news-source/lemars-daily-sentinel,not-rated,28,18,1.555555554691358,agree
Lexington Herald-Leader,https://www.allsides.com/news-source/lexington-herald-leader,not-rated,7,8,0.8749999989062499,somewhat disagree
Life on Capitol Hill,https://www.allsides.com/news-source/life-capitol-hill,not-rated,11,10,1.0999999989,somewhat agree
Lifehacker,https://www.allsides.com/news-source/lifehacker,center,324,308,1.0519480519138977,somewhat agree
Lincoln Journal Star,https://www.allsides.com/news-source/lincoln-journal-star-media-bias,not-rated,40,49,0.8163265304456476,somewhat disagree
Lincoln Times-News,https://www.allsides.com/news-source/lincoln-times-news,not-rated,8,8,0.9999999987499999,NA
Listen First Project,https://www.allsides.com/news-source/listen-first-project-media-bias,allsides,132,105,1.2571428570231293,somewhat agree
Live Action News,https://www.allsides.com/news-source/live-action-news,right-center,280,186,1.5053763440050871,agree
Livingston County Daily Press,https://www.allsides.com/news-source/livingston-county-daily-press,not-rated,22,31,0.7096774191259105,somewhat disagree
Livonia Observer,https://www.allsides.com/news-source/livonia-observer,not-rated,35,9,3.888888884567901,absolutely agree
London School of Economics,https://www.allsides.com/news-source/london-school-economics,not-rated,42,34,1.235294117283737,somewhat agree
Longmont Times-Call,https://www.allsides.com/news-source/longmont-times-call,left-center,179,166,1.0783132529470896,somewhat agree
Los Angeles Times,https://www.allsides.com/news-source/los-angeles-times-bias,left-center,4229,3132,1.3502554278373236,somewhat agree
Loudoun Times-Mirror,https://www.allsides.com/news-source/loudoun-times-mirror,not-rated,74,97,0.7628865978594963,somewhat disagree
Louisville Courier-Journal,https://www.allsides.com/news-source/louisville-courier-journal,left-center,201,201,0.9999999999502487,NA
Louisville Eccentric Observer,https://www.allsides.com/news-source/louisville-eccentric-observer,not-rated,12,18,0.6666666662962962,disagree
Lowell Ledger,https://www.allsides.com/news-source/lowell-ledger,not-rated,17,27,0.6296296293964334,disagree
Ludington Daily News,https://www.allsides.com/news-source/ludington-daily-news,not-rated,19,28,0.6785714283290816,somewhat disagree
Lyons Recorder,https://www.allsides.com/news-source/lyons-recorder,not-rated,3,7,0.4285714279591837,strongly disagree
Mackinac Island Town Crier,https://www.allsides.com/news-source/mackinac-island-town-crier,not-rated,17,27,0.6296296293964334,disagree
Macomb County Advisor and Source,https://www.allsides.com/news-source/macomb-county-advisor-and-source,not-rated,6,40,0.1499999999625,absolutely disagree
Macomb Daily,https://www.allsides.com/news-source/macomb-daily,not-rated,33,32,1.0312499996777345,somewhat agree
Macomb Township Chronicle,https://www.allsides.com/news-source/macomb-township-chronicle,not-rated,38,9,4.222222217530864,absolutely agree
Macon County News,https://www.allsides.com/news-source/macon-county-news,not-rated,4,6,0.6666666655555555,disagree
Madison-Park News,https://www.allsides.com/news-source/madison-park-news,not-rated,6,26,0.23076923068047336,absolutely disagree
Malvern Daily Record,https://www.allsides.com/news-source/malvern-daily-record,not-rated,7,8,0.8749999989062499,somewhat disagree
Manchester Enterprise,https://www.allsides.com/news-source/manchester-enterprise,not-rated,38,10,3.7999999961999995,absolutely agree
Manistee News Advocate,https://www.allsides.com/news-source/manistee-news-advocate,not-rated,57,25,2.279999999088,strongly agree
Manistique Pioneer-Tribune,https://www.allsides.com/news-source/manistique-pioneer-tribune,not-rated,38,12,3.1666666640277774,absolutely agree
MariaShriver.com,https://www.allsides.com/news-source/mariashrivercom-media-bias,not-rated,17,26,0.6538461535946746,disagree
Marietta Daily Journal,https://www.allsides.com/news-source/marietta-daily-journal,not-rated,12,11,1.0909090899173552,somewhat agree
Marietta Daily Journal,https://www.allsides.com/news-source/marietta-daily-journal-0,not-rated,17,39,0.4358974357856673,strongly disagree
Marion Press,https://www.allsides.com/news-source/marion-press,not-rated,12,29,0.41379310330558855,strongly disagree
MarketWatch,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,142,263,0.5399239543520942,disagree
Marlette Leader,https://www.allsides.com/news-source/marlette-leader,not-rated,12,31,0.38709677406867843,strongly disagree
Marshall Advisor & Chronicle,https://www.allsides.com/news-source/marshall-advisor-chronicle,not-rated,8,31,0.2580645160457856,absolutely disagree
Marshalltown Times Republican,https://www.allsides.com/news-source/marshalltown-times-republican,not-rated,16,36,0.4444444443209876,strongly disagree
Mashable,https://www.allsides.com/news-source/mashable,left,428,188,2.2765957445597556,strongly agree
McClatchyDC,https://www.allsides.com/news-source/mcclatchydc-media-bias,center,66,84,0.7857142856207484,somewhat disagree
McSweeney's,https://www.allsides.com/news-source/mcsweeneys-internet-tendency-media-bias,not-rated,2,1,1.9999999800000003,agree
Media Matters,https://www.allsides.com/news-source/media-matters-bias,left,2551,1575,1.619682539672256,agree
Media Research Center,https://www.allsides.com/news-source/media-research-center,right,1309,1613,0.8115313081164816,somewhat disagree
Mediaite,https://www.allsides.com/news-source/mediaite-bias,left-center,704,712,0.9887640449299331,somewhat disagree
MediaPost,https://www.allsides.com/news-source/mediapost,not-rated,22,54,0.40740740733196157,strongly disagree
Medical Daily,https://www.allsides.com/news-source/medical-daily,not-rated,128,132,0.9696969696235077,somewhat disagree
Medical News Today,https://www.allsides.com/news-source/medical-news-today,not-rated,69,72,0.9583333332002316,somewhat disagree
Medill News Service,https://www.allsides.com/news-source/medill-news-service-media-bias,not-rated,71,64,1.1093749998266602,somewhat agree
Medium,https://www.allsides.com/news-source/medium-media-bias,not-rated,55,69,0.7971014491598405,somewhat disagree
Messenger-Inquirer,https://www.allsides.com/news-source/messenger-inquirer,not-rated,18,17,1.0588235287889274,somewhat agree
Miami Herald,https://www.allsides.com/news-source/miami-herald,left-center,305,328,0.9298780487521379,somewhat disagree
Mic,https://www.allsides.com/news-source/mic,not-rated,76,84,0.904761904654195,somewhat disagree
MichelleMalkin.com,https://www.allsides.com/news-source/michellemalkincom,right,553,285,1.9403508771248998,agree
Michigan Bulletin,https://www.allsides.com/news-source/michigan-bulletin,not-rated,12,7,1.7142857118367347,agree
Michigan Catholic,https://www.allsides.com/news-source/michigan-catholic,not-rated,16,7,2.28571428244898,strongly agree
Michigan Chronicle,https://www.allsides.com/news-source/michigan-chronicle,not-rated,11,29,0.37931034469678954,strongly disagree
Michigan Daily,https://www.allsides.com/news-source/michigan-daily,left-center,237,218,1.0871559632528827,somewhat agree
Michigan Journal,https://www.allsides.com/news-source/michigan-journal,not-rated,3,30,0.09999999996666667,absolutely disagree
Middleville Sun & News,https://www.allsides.com/news-source/middleville-sun-news,not-rated,11,33,0.3333333332323232,strongly disagree
Midland Daily News,https://www.allsides.com/news-source/midland-daily-news,not-rated,31,20,1.549999999225,agree
